pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00388132,"",D000022198,Pride Mobility Products,23584,7500,16084,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000087693,Silvi Group Companies,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Kbs Inc,8700,0,8700,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Pride-Mobilit Products,8700,0,8700,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000056199,Robindale Energy Services,8700,0,8700,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000063591,Sundance Vacations,8700,0,8700,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000036594,Penske Corp                             ,6800,0,6800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Berkshire Asset Mgmt,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000089681,City Center Investment,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Customers Bank,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000053940,Moran Industries,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000077291,Pace-O-Matic Inc,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Progressive Vision Institute,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Si,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000079863,D&L Realty,5000,0,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00335091,"",D000029500,Transportation Intermediaries Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00064766,"",D000000081,United Parcel Service,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",4500,500,4000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00300178,"",D000019743,Wells Fargo,4492,0,4492,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Pioneer Aggregates Inc,4400,0,4400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Mdlive,4000,0,4000,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000035770,Medico Industries,4000,0,4000,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,East Penn Mfg,3900,0,3900,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000061449,Gilberton Coal,3900,0,3900,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,New Global Marketing,3900,0,3900,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Vhg,3900,0,3900,2022-04-18 00:00:00 +0000,30, , ,0,          
C00248716,"",D000000461,Comcast Corp,3500,2500,1000,2022-04-18 00:00:00 +0000,34, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00486217,"",          ,LPL Financial,3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",3500,3500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Pioneer Pole Building,3400,0,3400,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000033066,Davidson Kempner Capital Management,3000,0,3000,2022-04-18 00:00:00 +0000,39, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00109991,"",D000027911,Small Business Investor Alliance,3000,3000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Nemo Inc,2905,0,2905,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Olympus Power LLC,2905,0,2905,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Advanced Employee Services,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Albarell Electic,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Atlantic Carbon Group,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Berkshire,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Berkshire Asset Management,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000090565,Cleveland Brothers,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Construction Dynamics,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Crozer-Keystone Health Systems,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Elk Lighting,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000061136,Empire Education Group,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000033782,Fox Rothschild LLP,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,H+K Group,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Hayes Ivy Manufacturing,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Heim Construction,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Hill Holdings,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,I2m,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Jefferson Torresdale Hospital,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Key Hr,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Kocha'S Turkey Farms,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000093897,Lancaster School of Cosmetology,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
C00466870,"",          ,Leadership for Enterprise & Opportunity,2900,2900,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Lmb Industrial Services,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Masano Bradley,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Mauver & Scott Sales,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Meckley'S Limestone Products,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000043648,Olympus Holdings,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
