pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Whetstone Holdings,8000,0,8000,2022-04-18 00:00:00 +0000,2, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7750,7750,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00248716,"",D000000461,Comcast Corp,6000,6000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000032284,Capital Funding Group,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00141218,"",D000000368,Exelon Corp,5500,5000,500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00002840,"",D000000070,United Auto Workers,5000,5000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,4500,4500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Quest Holdings,4000,0,4000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,3500,3500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000053952,Morgan State University,3025,0,3025,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Career Communications Group,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Cfi LLC,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Gary Bauman DDS,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000068352,Harbor Group International,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Skout Group,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Triple Crown Dental,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,UBS Financial Services,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00536573,"",D000066804,AbbVie Inc,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00006080,"",D000000192,American Health Care Assn,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00227744,"",D000000098,Ernst & Young,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00284885,"",D000000419,Home Depot,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Lierman Advisors,2500,0,2500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00158881,"",D000000249,New York Life Insurance,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00388827,"",D000066716,Rock Holdings,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,2500,2500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00303024,"",D000000104,Lockheed Martin,2010,2000,10,2022-04-18 00:00:00 +0000,43, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2000,2000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00109017,"",D000000076,AT&T Inc,2000,2000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00381624,"",D000024295,Because I Care PAC,2000,2000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000060584,Caves Valley Partners,2000,0,2000,2022-04-18 00:00:00 +0000,44, , ,0,          
