pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000078861,Thompson Thrift Development,40600,0,40600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Tri County Welding,14700,0,14700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00552851,"",D000068902,House Freedom Fund,13550,5000,8550,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000052094,Indeck Energy Services,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Rural King,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000035522,M&M Industries                                    ,10000,0,10000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Assoc International Inc,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000092242,Community Toyota,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000093969,Cowles Parkway Ford,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000033037,Daniels Manufacturing,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Flagler Hospital,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000063099,Research Affiliates LLC,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00755199,"",          ,Save America Stop Socialism PAC,5400,5400,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00206136,"",D000023888,Ameren Corp,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000049884,Crownquest Operating,5000,0,5000,2022-04-18 00:00:00 +0000,16, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00503094,"",          ,Freedom First PAC (Meadows),5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,5000,5000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Medicone Response,5000,0,5000,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Charles Heuerman Trucking,4900,0,4900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Morgan Mfg Co,4900,0,4900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000037797,State of Illinois,4685,0,4685,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000061156,Entertrainment Junction,4627,0,4627,2022-04-18 00:00:00 +0000,25, , ,0,          
C00384354,"",          ,Michigan Sugar,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Drake Excavating,3500,0,3500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Drake Homes,3500,0,3500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000074433,Heavy Construction Systems Specialists,3263,0,3263,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Alliance Constructors,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Bolin Enterprise,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Bolin Enterprises,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Born Stage Airport,2900,0,2900,2022-04-18 00:00:00 +0000,31, , ,0,          
