pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000036737,Poarch Band Of Creek Indians,15800,0,15800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000055737,Intrafi Network,15700,0,15700,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000033751,Forest County Potawatomi Community,15600,0,15600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00586859,"",          ,Mortgage Guaranty Insurance Corp,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00158881,"",D000000249,New York Life Insurance,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00197095,"",          ,Northwestern Mutual Life Insurance,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00121319,"",D000029442,Thrivent Financial,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000036885,Puyallup Tribe of Indians,12800,0,12800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,12500,12500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00689091,"",D000000810,Carlyle Group,11500,10000,1500,2022-04-18 00:00:00 +0000,15, , ,0,          
C00354290,"",          ,American Family Mutual Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
