pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000032575,Ciciora Custom Homes,139800,0,139800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00484535,"",D000065181,Votesane PAC,130400,0,130400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00428110,"",D000029158,Spirit Aerosystems,65050,35000,30050,2022-04-18 00:00:00 +0000,3,x, ,0,D000029158
C00215285,"",D000000317,General Atomics,42100,20000,22100,2022-04-18 00:00:00 +0000,4,x, ,0,D000000317
C00139451,"",          ,Kansas City Southern,39849,10000,29849,2022-04-18 00:00:00 +0000,5,x, ,0,D000026944
C00477653,"",D000000768,Cox Enterprises                         ,39000,16000,23000,2022-04-18 00:00:00 +0000,6,x, ,0,D000000768
         ,"",D000021757,Berkshire Hathaway,38900,34500,4400,2022-04-18 00:00:00 +0000,7,x, ,0,D000021757
C00248716,"",D000000461,Comcast Corp,38000,35000,3000,2022-04-18 00:00:00 +0000,8,x, ,0,D000000461
C00369058,"",D000022304,Van Scoyoc Assoc,36350,0,36350,2022-04-18 00:00:00 +0000,9,x,x,0,D000022304
         ,"",D000093420,Dickinson County Bank,36200,0,36200,2022-04-18 00:00:00 +0000,10, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,35500,28500,7000,2022-04-18 00:00:00 +0000,11,x, ,0,D000000202
C00109017,"",D000000076,AT&T Inc,35000,35000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000000076
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000000755
C00010470,"",D000000118,Union Pacific Corp,35000,35000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000000118
C00382150,"",D000022003,GEO Group,34000,0,34000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00459743,"",D000030548,Triwest Healthcare Alliance,33600,500,33100,2022-04-18 00:00:00 +0000,16,x, ,0,D000030548
         ,"",D000030924,Watco Companies,32600,0,32600,2022-04-18 00:00:00 +0000,17,x, ,0,D000030924
C00303024,"",D000000104,Lockheed Martin,32025,32000,25,2022-04-18 00:00:00 +0000,18,x, ,0,D000000104
C00367995,"",D000029049,Sierra Nevada Corp,31500,20000,11500,2022-04-18 00:00:00 +0000,19,x, ,0,D000029049
C00123612,"",D000000201,Textron Inc,31500,29500,2000,2022-04-18 00:00:00 +0000,19,x, ,0,D000000201
