pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000635,Brown Brothers Harriman & Co,54000,0,54000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000544,Harvard University                      ,37840,0,37840,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000049870,Cross Country Group,34800,0,34800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000036528,Mass General Brigham,33949,0,33949,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000072024,Charlesbank Capital Partners,33200,0,33200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031927,Berkshire Partners,32000,0,32000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000034956,Judd Enterprises,27400,0,27400,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000083834,Ingleside Investors,26600,0,26600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000086954,Carecentrix,21600,0,21600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000033788,Francisco Partners,21400,0,21400,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000093669,Pica Manufacturing Solutions,20600,0,20600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00418897,"",D000029722,VoteVets.org,17500,17500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000060800,Cooley Llp,16600,0,16600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000031435,Alsop Louie Partners,15800,0,15800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Lynch Foundation,15800,0,15800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Ogden Family Investments,15800,0,15800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,ROSC Global,15800,0,15800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Hudson Bay Capital Management LLC,15100,0,15100,2022-04-18 00:00:00 +0000,18, , ,0,          
C00369751,"",D000000585,Dell Technologies,14643,0,14643,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000022120,Morgan Lewis LLP                                  ,14120,0,14120,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Mfs,12900,0,12900,2022-04-18 00:00:00 +0000,21, , ,0,          
C00337626,"",D000000106,Morgan Stanley,12303,0,12303,2022-04-18 00:00:00 +0000,22, , ,0,          
C00468314,"",D000025328,Democracy Engine,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000092666,M33 Growth,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000063703,Third Rock Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000000406,University of California                ,11514,0,11514,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Next Step LLC,10985,0,10985,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000046371,Adage Capital,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000021859,Bain Capital,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000031817,Barr Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000085834,Flybridge Capital Partners,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000083664,Ginkgo Bioworks,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000051904,Horsley Bridge Partners,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000071990,Liminality Capital,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000071891,Medidata Solutions,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Paine Schwartz,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Paine Schwartz Partners,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000036694,Pilot House Assoc,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Psg,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000037345,Samuels & Assoc,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Shah Family Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Sycamore,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000069732,Wayfair Inc,10800,0,10800,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000032249,Cambridge Assoc,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000086490,Culbro LLC,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000086406,Cullman & Kravis,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000068048,DraftKings,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Ecrm Inc Tewksbury Ma,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Emerald,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Fortinbras Enterprises,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Klio Fitness Mhd LLC,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000083438,Lumiradx,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Pica Sales & Engineering,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000090926,Tidepool Press,10600,0,10600,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000021757,Berkshire Hathaway,10539,5500,5039,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000090092,Barbara Israel Garden Antiques,10400,0,10400,2022-04-18 00:00:00 +0000,57, , ,0,          
C00096156,"",D000000334,Honeywell International,10013,10000,13,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Fiirst Indemnity,10000,0,10000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000044556,Keith Construction,10000,0,10000,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000093609,Wellesley Public Schools,8813,0,8813,2022-04-18 00:00:00 +0000,61, , ,0,          
C00335091,"",D000029500,Transportation Intermediaries Assn,8500,8500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000070233,Inversant,8300,0,8300,2022-04-18 00:00:00 +0000,63, , ,0,          
