pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000245,MacAndrews & Forbes,11950,10000,1950,2022-04-18 00:00:00 +0000,1, , ,0,          
C00284885,"",D000000419,Home Depot,10010,10000,10,2022-04-18 00:00:00 +0000,2, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00082792,"",D000000166,Eli Lilly & Co,8730,8500,230,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Ibekie Foundation,8700,0,8700,2022-04-18 00:00:00 +0000,6, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,8000,8000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00395947,"",D000021864,Barnes & Thornburg                      ,7550,2500,5050,2022-04-18 00:00:00 +0000,8, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00290973,"",D000024873,Cleveland-Cliffs,6570,6000,570,2022-04-18 00:00:00 +0000,10, , ,0,          
C00051979,"",D000000410,NiSource Inc,6275,4000,2275,2022-04-18 00:00:00 +0000,11, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",6000,6000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000047059,American Structurepoint,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000063207,Royal Brush Manufacturing,5600,0,5600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,5500,5500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007922,"",D000000074,Laborers Union,5200,5000,200,2022-04-18 00:00:00 +0000,16, , ,0,          
C00003590,"",D000000102,United Steelworkers,5050,5000,50,2022-04-18 00:00:00 +0000,17, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00003632,"",D000000302,Bricklayers Union,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Mhopc,5000,0,5000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Michiana Hematology Oncology,5000,0,5000,2022-04-18 00:00:00 +0000,18, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C70000492,"",D000000064,National Education Assn,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,2500,2500,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Ted Lieu for Congress,5000,3000,2000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Weiss Entities LLC,5000,0,5000,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,NOT EMPLOYED,4940,0,4940,2022-04-18 00:00:00 +0000,34, , ,0,          
C00005157,"",D000000218,Boilermakers Union,4500,4500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Crown Eram,4500,0,4500,2022-04-18 00:00:00 +0000,35, , ,0,          
C00096156,"",D000000334,Honeywell International,4500,4500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000042474,Roche Holdings,4000,4000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,3500,3500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00379628,"",D000028057,Nucor Corp,3500,3500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Practice Manager,3020,0,3020,2022-04-18 00:00:00 +0000,41, , ,0,          
C00109017,"",D000000076,AT&T Inc,3000,3000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00097485,"",D000000275,Merck & Co,3000,2500,500,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Tauber Law Offices,3000,0,3000,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000000215,Sanofi,2975,0,2975,2022-04-18 00:00:00 +0000,45, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,2900,2900,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Chest Physicians,2900,0,2900,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Johnson & Bell Pc,2900,0,2900,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000073978,K Rowe Investments,2900,0,2900,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Nri Clinic for Complementary Medicine,2900,0,2900,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000088272,Premier Oncology Hematology Assoc       ,2900,0,2900,2022-04-18 00:00:00 +0000,46, , ,0,          
C00300418,"",D000067120,SAIC,2824,1000,1824,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Royal Brush Mfg,2800,0,2800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00075341,"",D000000355,Motorola Solutions,2650,2500,150,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Advanced Care Medical Specialists,2500,0,2500,2022-04-18 00:00:00 +0000,55, , ,0,          
C00691972,"",          ,Allison Transmission,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00000729,"",D000000105,American Dental Assn,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00008839,"",D000021836,American Podiatric Medical Assn,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00444885,"",          ,Astellas US,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00430579,"",D000024452,Brave PAC,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00399196,"",D000021881,BRIDGE PAC,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00410589,"",D000024686,Cerner Corp,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00085316,"",D000000222,Cigna Corp,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00115527,"",D000024141,Insulators Union,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00229435,"",D000000604,Leggett & Platt,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000070965,Simon Youth Foundation,2500,0,2500,2022-04-18 00:00:00 +0000,55, , ,0,          
C00369660,"",D000022306,Venable LLP,2500,2000,500,2022-04-18 00:00:00 +0000,55, , ,0,          
C00536573,"",D000066804,AbbVie Inc,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Albert'S Diamond Jewelers,2000,0,2000,2022-04-18 00:00:00 +0000,71, , ,0,          
C00106146,"",D000000116,American Hospital Assn,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00248716,"",D000000461,Comcast Corp,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00436485,"",D000024896,Committee on Pipe & Tube Imports,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Cook Medical,2000,0,2000,2022-04-18 00:00:00 +0000,71, , ,0,          
C00574970,"",          ,Fair Shot PAC,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00078451,"",D000000165,General Dynamics,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00546234,"",D000000369,Leidos Inc,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Lifehouse Homes LLC,2000,0,2000,2022-04-18 00:00:00 +0000,71, , ,0,          
C00426809,"",          ,Madison PAC (Neal),2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000085175,Peoples Bank (Indiana),2000,0,2000,2022-04-18 00:00:00 +0000,71, , ,0,          
C00016683,"",D000000138,Pfizer Inc,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Portage City Councilman,2000,0,2000,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Samos Properties,2000,0,2000,2022-04-18 00:00:00 +0000,71, , ,0,          
C00545558,"",D000057313,Superior Ambulance Service,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00100404,"",D000070010,United Postmasters & Managers of America,2000,2000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
