pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00064774,"",D000000321,NextEra Energy,65750,35000,30750,2022-04-18 00:00:00 +0000,1,x, ,2,D000000321
C00112896,"",D000000303,ConocoPhillips,57850,10000,47850,2022-04-18 00:00:00 +0000,2, , ,0,          
C00141218,"",D000000368,Exelon Corp,55900,34000,21900,2022-04-18 00:00:00 +0000,3,x, ,0,D000000368
C00387894,"",          ,General Communication Inc,53000,24000,29000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000068060,ClearPath Foundation,50800,0,50800,2022-04-18 00:00:00 +0000,5,x, ,0,D000068060
         ,"",D000000358,KKR & Co,50076,0,50076,2022-04-18 00:00:00 +0000,6, , ,0,          
C00672790,"",D000030537,Trident Seafoods,49700,2700,47000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,47250,40000,7250,2022-04-18 00:00:00 +0000,8,x, ,0,D000000658
         ,"",D000000109,Blue Cross/Blue Shield,43460,33000,10460,2022-04-18 00:00:00 +0000,9,x, ,1,D000000109
C00104802,"",D000000350,Delta Air Lines,43136,43000,136,2022-04-18 00:00:00 +0000,10,x, ,1,D000000350
C00797670,"",D000046963,American Israel Public Affairs Cmte,38174,0,38174,2022-04-18 00:00:00 +0000,11, , ,0,          
C00068692,"",D000000089,FedEx Corp,38100,32500,5600,2022-04-18 00:00:00 +0000,12,x, ,1,D000000089
         ,"",D000022236,Saltchuk,37650,10000,27650,2022-04-18 00:00:00 +0000,13, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,37500,37500,0,2022-04-18 00:00:00 +0000,14,x, ,1,D000000356
C00564377,"",          ,Chugach Alaska,36000,29000,7000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00228106,"",D000022195,PPL Corp,36000,36000,0,2022-04-18 00:00:00 +0000,15,x, ,0,D000022195
C00064766,"",D000000081,United Parcel Service,35460,32500,2960,2022-04-18 00:00:00 +0000,17,x, ,1,D000000081
C00007922,"",D000000074,Laborers Union,35000,35000,0,2022-04-18 00:00:00 +0000,18,x, ,0,D000000074
C00428623,"",          ,Google Inc,34400,21000,13400,2022-04-18 00:00:00 +0000,19, , ,0,          
C00340075,"",          ,BASF Corp,32500,32500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000033447,Energy Capital Partners                 ,32500,32000,500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00108209,"",D000000335,Dominion Energy,32000,31500,500,2022-04-18 00:00:00 +0000,22,x, ,0,D000000335
C00088591,"",D000000170,Northrop Grumman,31575,31500,75,2022-04-18 00:00:00 +0000,23,x, ,2,D000000170
C00078451,"",D000000165,General Dynamics,31525,31500,25,2022-04-18 00:00:00 +0000,24,x, ,3,D000000165
C00106146,"",D000000116,American Hospital Assn,30500,30500,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000000116
C00002972,"",D000000153,National Rural Electric Cooperative Assn,30500,30000,500,2022-04-18 00:00:00 +0000,25,x, ,0,D000000153
C00097568,"",D000072615,Raytheon Technologies,30025,30000,25,2022-04-18 00:00:00 +0000,27,x, ,2,D000072615
C00280222,"",D000019986,KPMG LLP,30000,30000,0,2022-04-18 00:00:00 +0000,28,x,x,1,D000019986
C00202184,"",D000027883,National Rural Water Assn,30000,30000,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000027883
C00177469,"",D000000290,PG&E Corp,29750,28500,1250,2022-04-18 00:00:00 +0000,30,x, ,0,D000000290
C00140061,"",D000000293,American College of Emergency Physicians,29500,29500,0,2022-04-18 00:00:00 +0000,31,x, ,1,D000000293
C00364158,"",          ,American Congress of Obstetricians & Gynecologists,29500,29500,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00024349,"",D000023819,Alaska Air Group,28000,16500,11500,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000066695,Northwest Alaska Native Assn,28000,27000,1000,2022-04-18 00:00:00 +0000,33,x, ,0,D000066695
C00325332,"",D000024003,American Seniors Housing Assn,27500,27500,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000024003
C00130773,"",D000000755,National Multifamily Housing Council,27500,27500,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000755
C00325092,"",D000064813,Huntington Ingalls Industries,27000,27000,0,2022-04-18 00:00:00 +0000,37,x, ,1,D000064813
C70002563,"",D000000062,National Assn of Realtors,27000,27000,0,2022-04-18 00:00:00 +0000,37,x, ,0,D000000062
C00093054,"",D000000367,Walmart Inc,26367,20000,6367,2022-04-18 00:00:00 +0000,39,x, ,0,D000000367
C00144774,"",D000000168,Southern Co,26050,25500,550,2022-04-18 00:00:00 +0000,40,x, ,0,D000000168
         ,"",          ,Axxess,25800,0,25800,2022-04-18 00:00:00 +0000,41, , ,0,          
C00486779,"",D000047416,Association of Oil Pipe Lines,25700,25700,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000047416
C00478099,"",D000045889,Atlas Air Worldwide,25500,25000,500,2022-04-18 00:00:00 +0000,43,x, ,0,D000045889
C00163832,"",D000000148,CSX Corp,25500,25500,0,2022-04-18 00:00:00 +0000,43,x, ,0,D000000148
         ,"",D000023645,Cow Creek Band of Umpqua Indians,25400,0,25400,2022-04-18 00:00:00 +0000,45,x, ,0,D000023645
C00284885,"",D000000419,Home Depot,25075,25000,75,2022-04-18 00:00:00 +0000,46,x, ,1,D000000419
C00250399,"",D000021853,Automotive Free International Trade PAC           ,25000,25000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00248716,"",D000000461,Comcast Corp,25000,25000,0,2022-04-18 00:00:00 +0000,47,x, ,1,D000000461
C00039578,"",D000000433,Council of Insurance Agents & Brokers,25000,25000,0,2022-04-18 00:00:00 +0000,47,x, ,0,D000000433
C00007880,"",D000000136,Credit Union National Assn,25000,25000,0,2022-04-18 00:00:00 +0000,47,x, ,0,D000000136
C00035451,"",D000000117,Air Line Pilots Assn,24500,24500,0,2022-04-18 00:00:00 +0000,51,x, ,1,D000000117
         ,"",D000021757,Berkshire Hathaway,24005,24000,5,2022-04-18 00:00:00 +0000,52,x, ,3,D000021757
C00430157,"",D000024731,Cheniere Energy,23800,4000,19800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000070476,Senior Star,23200,0,23200,2022-04-18 00:00:00 +0000,54, , ,0,          
C00035006,"",D000000015,Chevron Corp,22961,10000,12961,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,22700,0,22700,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000067736,Snoqualmie Indian Tribe,22700,0,22700,2022-04-18 00:00:00 +0000,56,x, ,0,D000067736
C00211318,"",D000000131,Deloitte LLP,22525,22500,25,2022-04-18 00:00:00 +0000,58,x,x,0,D000000131
C00027359,"",D000000140,Ironworkers Union,22500,22500,0,2022-04-18 00:00:00 +0000,59,x, ,0,D000000140
C00126763,"",D000000240,National Assn of Convenience Stores,22500,22500,0,2022-04-18 00:00:00 +0000,59,x, ,1,D000000240
C00300178,"",D000019743,Wells Fargo,22275,20000,2275,2022-04-18 00:00:00 +0000,61, , ,0,          
C00076810,"",D000000155,General Motors,22135,22125,10,2022-04-18 00:00:00 +0000,62,x, ,2,D000000155
C90016437,"",D000000086,National Assn of Home Builders,22000,22000,0,2022-04-18 00:00:00 +0000,63,x, ,0,D000000086
C00227744,"",D000000098,Ernst & Young,21500,20000,1500,2022-04-18 00:00:00 +0000,64,x,x,0,D000000098
C00388462,"",          ,ITC Holdings,21500,21500,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,21500,21500,0,2022-04-18 00:00:00 +0000,64,x, ,0,D000021771
C00689091,"",D000000810,Carlyle Group                           ,21400,15000,6400,2022-04-18 00:00:00 +0000,67, , ,0,          
C00205369,"",D000029631,Van Ness Feldman,20750,10000,10750,2022-04-18 00:00:00 +0000,68, , ,0,          
C00024869,"",D000000125,General Electric,20500,19500,1000,2022-04-18 00:00:00 +0000,69,x, ,1,D000000125
         ,"",D000036737,Poarch Band of Creek Indians,20400,0,20400,2022-04-18 00:00:00 +0000,70,x, ,0,D000036737
C00426775,"",D000000672,Charter Communications,20000,20000,0,2022-04-18 00:00:00 +0000,71,x, ,1,D000000672
C00480228,"",D000045959,Continuing America's Strength & Security,20000,20000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00390674,"",D000021993,Freedom Fund,20000,20000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00551853,"",          ,Oorah! PAC,20000,20000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,20000,20000,0,2022-04-18 00:00:00 +0000,71,x, ,0,D000000139
C00580894,"",D000030766,Vail Resorts,20000,20000,0,2022-04-18 00:00:00 +0000,71, , ,0,          
C00525055,"",          ,Transcanada USA Services,19500,19500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00320580,"",          ,Barrick Goldstrike Mines,19000,19000,0,2022-04-18 00:00:00 +0000,78, , ,0,          
C00102160,"",D000028032,Eversource Energy,19000,19000,0,2022-04-18 00:00:00 +0000,78,x, ,0,D000028032
         ,"",D000035508,Lynden Inc,19000,0,19000,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,18900,0,18900,2022-04-18 00:00:00 +0000,81,x, ,0,D000023656
         ,"",D000000832,Carnival Corp,18600,6000,12600,2022-04-18 00:00:00 +0000,82, , ,0,          
C00332643,"",D000021883,"Bryan, Cave et al",18100,18000,100,2022-04-18 00:00:00 +0000,83,x,x,0,D000021883
C00332833,"",D000021892,Cardinal Health,17500,17500,0,2022-04-18 00:00:00 +0000,84,x, ,1,D000021892
C00034405,"",D000000171,International Paper,17500,17500,0,2022-04-18 00:00:00 +0000,84,x, ,1,D000000171
C00303024,"",D000000104,Lockheed Martin,17500,17500,0,2022-04-18 00:00:00 +0000,84,x, ,0,D000000104
         ,"",D000031927,Berkshire Partners,17400,0,17400,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",D000061745,Hunt Companies,17400,0,17400,2022-04-18 00:00:00 +0000,87, , ,0,          
C00774497,"",          ,Americans for Action On Climate Fund,17200,10000,7200,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000037168,"Robertson, Monagle & Eastaugh",17150,0,17150,2022-04-18 00:00:00 +0000,90, , ,0,          
C00484535,"",D000065181,Votesane PAC,17150,0,17150,2022-04-18 00:00:00 +0000,90, , ,0,          
