pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000769,"Paul, Weiss et al",150103,0,150103,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000022331,Yale University,131572,0,131572,2022-04-18 00:00:00 +0000,2, , ,0,          
C90014028,"",D000052457,J Street,63045,0,63045,2022-04-18 00:00:00 +0000,3, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,48127,5000,43127,2022-04-18 00:00:00 +0000,4,x, ,0,D000000103
C00097568,"",D000072615,Raytheon Technologies,42929,22500,20429,2022-04-18 00:00:00 +0000,5,x, ,0,D000072615
C00078451,"",D000000165,General Dynamics,41435,20000,21435,2022-04-18 00:00:00 +0000,6,x, ,0,D000000165
         ,"",D000000464,Sullivan & Cromwell,37495,0,37495,2022-04-18 00:00:00 +0000,7, , ,0,          
C00511444,"",D000000677,Hartford Financial Services,36802,15000,21802,2022-04-18 00:00:00 +0000,8,x, ,0,D000000677
C00426775,"",D000000672,Charter Communications,36008,15000,21008,2022-04-18 00:00:00 +0000,9,x, ,0,D000000672
         ,"",D000022082,"Lieff, Cabraser et al",32218,0,32218,2022-04-18 00:00:00 +0000,10, , ,0,          
C00337626,"",D000000106,Morgan Stanley,31570,5500,26070,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,30800,0,30800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000069487,PJT Partners,29775,0,29775,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000544,Harvard University                      ,29345,0,29345,2022-04-18 00:00:00 +0000,14, , ,0,          
C00350744,"",D000000085,Goldman Sachs,29245,12500,16745,2022-04-18 00:00:00 +0000,15,x, ,0,D000000085
         ,"",D000037791,State of Connecticut,29043,0,29043,2022-04-18 00:00:00 +0000,16,x, ,0,D000037791
C00384818,"",D000025214,CVS Health,29026,23500,5526,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000052507,Janney Montgomery Scott Llc,28679,0,28679,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000030810,Veritas Capital                         ,28121,7500,20621,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000022252,Simmons Hanly Conroy,27700,0,27700,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000030654,University of Connecticut,26424,0,26424,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000022251,Silver Lake Partners                    ,26255,0,26255,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Warner Brothers Discovery,24624,1000,23624,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000065674,Hartford Health Care,23861,0,23861,2022-04-18 00:00:00 +0000,24, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,22866,8000,14866,2022-04-18 00:00:00 +0000,25,x, ,0,D000000115
C00227744,"",D000000098,Ernst & Young,21788,19000,2788,2022-04-18 00:00:00 +0000,26,x,x,0,D000000098
C00085316,"",D000000222,Cigna Corp,21621,18000,3621,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000021927,Columbia University                     ,21530,0,21530,2022-04-18 00:00:00 +0000,28,x, ,0,D000021927
C00104901,"",D000000162,"Akin, Gump et al",21110,2500,18610,2022-04-18 00:00:00 +0000,29, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,20949,20000,949,2022-04-18 00:00:00 +0000,30,x,x,0,D000000124
         ,"",D000017901,Apax Partners,20800,0,20800,2022-04-18 00:00:00 +0000,31, , ,0,          
C00284885,"",D000000419,Home Depot,20784,20000,784,2022-04-18 00:00:00 +0000,32,x, ,0,D000000419
         ,"",D000020995,UBS AG,20405,20000,405,2022-04-18 00:00:00 +0000,33, , ,0,          
C00096156,"",D000000334,Honeywell International,20299,20000,299,2022-04-18 00:00:00 +0000,34,x, ,0,D000000334
         ,"",D000037602,"Simpson, Thacher & Bartlett",20053,0,20053,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000068981,Woodbranch Investments,20000,0,20000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00158881,"",D000000249,New York Life Insurance,19515,19000,515,2022-04-18 00:00:00 +0000,37,x, ,0,D000000249
         ,"",D000036911,"Quinn, Emanuel et al",19350,0,19350,2022-04-18 00:00:00 +0000,38, , ,0,          
C00339499,"",D000022192,Pitney Bowes Inc,19097,8000,11097,2022-04-18 00:00:00 +0000,39,x, ,0,D000022192
         ,"",D000072025,"Gori, Julian & Assoc                    ",18900,0,18900,2022-04-18 00:00:00 +0000,40, , ,0,          
C00039305,"",D000000071,Citigroup Inc,18342,6500,11842,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000031442,Alternative Investment Group,17900,0,17900,2022-04-18 00:00:00 +0000,42, , ,0,          
C00280222,"",D000019986,KPMG LLP,17900,17500,400,2022-04-18 00:00:00 +0000,42,x,x,0,D000019986
C00364778,"",D000000090,Bank of America,17598,0,17598,2022-04-18 00:00:00 +0000,44, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,17568,17500,68,2022-04-18 00:00:00 +0000,45,x, ,0,D000000309
C00088591,"",D000000170,Northrop Grumman,17537,16000,1537,2022-04-18 00:00:00 +0000,46,x, ,0,D000000170
C00140061,"",D000000293,American College of Emergency Physicians,17500,17500,0,2022-04-18 00:00:00 +0000,47,x, ,0,D000000293
C00039578,"",D000000433,Council of Insurance Agents & Brokers,17500,17500,0,2022-04-18 00:00:00 +0000,47,x, ,0,D000000433
C00247403,"",D000022158,NorPAC,17450,0,17450,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000000569,Mayer Brown LLP,16730,0,16730,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,NOT EMPLOYED,16541,0,16541,2022-04-18 00:00:00 +0000,51, , ,0,          
C00303024,"",D000000104,Lockheed Martin,16151,14000,2151,2022-04-18 00:00:00 +0000,52,x, ,0,D000000104
C00493551,"",D000000172,MetLife Inc,16151,12500,3651,2022-04-18 00:00:00 +0000,52,x, ,0,D000000172
C00197749,"",D000000128,Walt Disney Co,16038,9000,7038,2022-04-18 00:00:00 +0000,54, , ,0,          
C00493304,"",D000000141,Prudential Financial,15938,15000,938,2022-04-18 00:00:00 +0000,55,x, ,0,D000000141
C00232629,"",D000000243,"Skadden, Arps et al",15927,0,15927,2022-04-18 00:00:00 +0000,56, , ,0,          
C00064766,"",D000000081,United Parcel Service,15829,15500,329,2022-04-18 00:00:00 +0000,57,x, ,0,D000000081
C00105981,"",D000000262,Investment Co Institute,15500,15500,0,2022-04-18 00:00:00 +0000,58,x, ,0,D000000262
         ,"",          ,Alexander Soros Foundation,15400,0,15400,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000060635,Cherokee Nation,15400,0,15400,2022-04-18 00:00:00 +0000,59, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15250,15000,250,2022-04-18 00:00:00 +0000,61,x, ,0,D000000084
         ,"",D000037542,Shipman & Goodwin,15168,0,15168,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000037586,"Silver, Golub & Teitell",15168,0,15168,2022-04-18 00:00:00 +0000,62, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,15000,15000,0,2022-04-18 00:00:00 +0000,64,x, ,0,D000000095
         ,"",          ,Putnam Bridge,15000,0,15000,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000022066,"Koskoff, Koskoff & Bieder",14895,0,14895,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000000811,Kirkland & Ellis,14775,0,14775,2022-04-18 00:00:00 +0000,67, , ,0,          
C00211318,"",D000000131,Deloitte LLP,14763,10000,4763,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000021919,Clifford Law Offices,14550,0,14550,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000083053,Capitol Strategies Group,14300,0,14300,2022-04-18 00:00:00 +0000,70, , ,0,          
