pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000032285,Capital Group,35000,0,35000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00652529,"",D000035428,Lockton Companies,21800,10000,11800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00064774,"",D000000321,NextEra Energy,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,18001,18000,1,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021873,Blackstone Group,17120,0,17120,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000402,"Welsh, Carson et al                     ",16900,0,16900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00089136,"",D000000067,Altria Group,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Capital Fixed Income Investors,15000,0,15000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00085316,"",D000000222,Cigna Corp,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00144345,"",          ,Sanofi US,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00248716,"",D000000461,Comcast Corp,14900,10000,4900,2022-04-18 00:00:00 +0000,13, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,13500,13500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00468314,"",D000025328,Democracy Engine,12100,0,12100,2022-04-18 00:00:00 +0000,15, , ,0,          
C00447565,"",D000073638,Finseca,10500,10000,500,2022-04-18 00:00:00 +0000,16, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00343459,"",D000021829,American College of Radiology,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00420398,"",          ,Boehringer Ingelheim Corp,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00326595,"",D000021891,Capital One Financial,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00083535,"",D000000477,Duke Energy,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00068692,"",D000000089,FedEx Corp,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00067231,"",D000000445,HCA Inc,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00271007,"",D000000652,Humana Inc,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00280222,"",D000019986,KPMG LLP,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00033779,"",D000022214,Real Estate Roundtable,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00012245,"",          ,UBS Americas,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00064766,"",D000000081,United Parcel Service,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00674465,"",D000026350,Guardian Life Insurance,9800,0,9800,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000088158,Bridge Investment Group,8700,0,8700,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Carnival Cruise Lines,8700,0,8700,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000079429,Keewin Real Property Co,8700,0,8700,2022-04-18 00:00:00 +0000,37, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000068512,Emerson Collective,7900,0,7900,2022-04-18 00:00:00 +0000,41, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,7500,7500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00034488,"",          ,Anheuser-Busch,7500,7500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000043112,AstraZeneca PLC,7500,7500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00109017,"",D000000076,AT&T Inc,7000,7000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Health Law Firm,6900,0,6900,2022-04-18 00:00:00 +0000,46, , ,0,          
C00174227,"",D000000620,Baker & Hostetler,6800,5000,1800,2022-04-18 00:00:00 +0000,47, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,6500,6500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00337626,"",D000000106,Morgan Stanley,6500,6500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000030648,University of Central Florida,6085,0,6085,2022-04-18 00:00:00 +0000,50, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,6035,6000,35,2022-04-18 00:00:00 +0000,51, , ,0,          
C00280008,"",D000021811,Akerman LLP,6000,5000,1000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",6000,2000,4000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00346353,"",          ,CRH Americas,6000,6000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00235036,"",          ,Zurich Insurance,6000,6000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000031574,Apex Covantage,5800,0,5800,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,5800,0,5800,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000032239,California Waste Solutions,5800,0,5800,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Ecs,5800,0,5800,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Wand Partner Inc,5800,0,5800,2022-04-18 00:00:00 +0000,56, , ,0,          
C00355677,"",D000024369,Biotechnology Innovation Organization,5500,5000,500,2022-04-18 00:00:00 +0000,61, , ,0,          
C00096156,"",D000000334,Honeywell International,5500,5500,0,2022-04-18 00:00:00 +0000,61, , ,0,          
C00097485,"",D000000275,Merck & Co,5500,5000,500,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Wcas,5400,0,5400,2022-04-18 00:00:00 +0000,64, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5065,5000,65,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000030810,Veritas Capital                         ,5025,5000,25,2022-04-18 00:00:00 +0000,66, , ,0,          
C00536573,"",D000066804,AbbVie Inc,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00034157,"",D000000126,AFLAC Inc,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00360354,"",D000023883,Amazon.com,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
