pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,119124,0,119124,2022-04-18 00:00:00 +0000,1, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,112639,25000,87639,2022-04-18 00:00:00 +0000,2,x, ,2,D000000115
C00360354,"",D000023883,Amazon.com                              ,111670,15000,96670,2022-04-18 00:00:00 +0000,3,x, ,0,D000023883
         ,"",D000022297,University of Washington                ,102241,0,102241,2022-04-18 00:00:00 +0000,4,x, ,0,D000022297
         ,"",D000000109,Blue Cross/Blue Shield,72215,49500,22715,2022-04-18 00:00:00 +0000,5,x, ,1,D000000109
C00468314,"",D000025328,Democracy Engine,55549,0,55549,2022-04-18 00:00:00 +0000,6, , ,0,          
C00248716,"",D000000461,Comcast Corp,44720,32500,12220,2022-04-18 00:00:00 +0000,7,x, ,5,D000000461
         ,"",D000022194,Power Rogers LLP,44600,0,44600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00016683,"",D000000138,Pfizer Inc,40083,40000,83,2022-04-18 00:00:00 +0000,9,x, ,0,D000000138
C70000492,"",D000000064,National Education Assn,40049,40000,49,2022-04-18 00:00:00 +0000,10,x, ,0,D000000064
C00027342,"",D000000069,International Brotherhood of Electrical Workers,36968,36000,968,2022-04-18 00:00:00 +0000,11,x, ,0,D000000069
         ,"",          ,D4 LLC,36600,0,36600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,35000,35000,0,2022-04-18 00:00:00 +0000,13,x, ,0,D000000135
C00689091,"",D000000810,Carlyle Group,34600,20000,14600,2022-04-18 00:00:00 +0000,14, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,34250,34250,0,2022-04-18 00:00:00 +0000,15,x, ,0,D000000062
C00557793,"",D000069501,Blue Origin,33170,21000,12170,2022-04-18 00:00:00 +0000,16,x, ,0,D000069501
C00213173,"",D000000766,K&L Gates,32813,5000,27813,2022-04-18 00:00:00 +0000,17, ,x,1,D000000766
         ,"",D000021757,Berkshire Hathaway,32744,28500,4244,2022-04-18 00:00:00 +0000,18, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,32500,32500,0,2022-04-18 00:00:00 +0000,19,x, ,0,D000000285
         ,"",D000031958,Bill & Melinda Gates Foundation,31956,0,31956,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Pacific Bioscience Labs,30800,0,30800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00211318,"",D000000131,Deloitte LLP,30240,30000,240,2022-04-18 00:00:00 +0000,22,x,x,1,D000000131
C00040279,"",D000000383,Abbott Laboratories,30038,30000,38,2022-04-18 00:00:00 +0000,23,x, ,1,D000000383
C00035451,"",D000000117,Air Line Pilots Assn,30010,30000,10,2022-04-18 00:00:00 +0000,24,x, ,0,D000000117
C00028860,"",D000000083,American Federation of Teachers,30004,30000,4,2022-04-18 00:00:00 +0000,25,x, ,0,D000000083
C00431072,"",D000024233,"Baker, Donelson et al",29850,5500,24350,2022-04-18 00:00:00 +0000,26, , ,0,          
C00384818,"",D000025214,CVS Health,29614,29000,614,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000021919,Clifford Law Offices,29500,0,29500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00082792,"",D000000166,Eli Lilly & Co,28875,26000,2875,2022-04-18 00:00:00 +0000,29,x, ,1,D000000166
C00142711,"",D000000100,Boeing Co                               ,27759,8500,19259,2022-04-18 00:00:00 +0000,30,x, ,0,D000000100
C00096156,"",D000000334,Honeywell International,27629,27000,629,2022-04-18 00:00:00 +0000,31,x, ,2,D000000334
         ,"",D000047063,American Superconductor,27200,0,27200,2022-04-18 00:00:00 +0000,32,x, ,1,D000047063
         ,"",D000021845,Apollo Global Management,26735,2500,24235,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000055177,Palantir Technologies,26100,0,26100,2022-04-18 00:00:00 +0000,34, , ,0,          
C00097485,"",D000000275,Merck & Co,26010,26000,10,2022-04-18 00:00:00 +0000,35,x, ,0,D000000275
         ,"",D000070478,Top Ten Toys,26000,0,26000,2022-04-18 00:00:00 +0000,36, , ,0,          
C00486928,"",D000046760,Alzheimer's Assn,25745,15000,10745,2022-04-18 00:00:00 +0000,37,x, ,0,D000046760
C00088591,"",D000000170,Northrop Grumman,25500,25500,0,2022-04-18 00:00:00 +0000,38,x, ,0,D000000170
         ,"",D000037825,State of Washington                     ,25317,0,25317,2022-04-18 00:00:00 +0000,39, , ,0,          
C00424838,"",D000028050,Novo Nordisk,25236,25236,0,2022-04-18 00:00:00 +0000,40,x, ,0,D000028050
         ,"",D000067736,Snoqualmie Indian Tribe,25115,0,25115,2022-04-18 00:00:00 +0000,41,x, ,0,D000067736
C00010470,"",D000000118,Union Pacific Corp,25093,25000,93,2022-04-18 00:00:00 +0000,42,x, ,0,D000000118
         ,"",D000071057,Juno Therapeutics,25087,21000,4087,2022-04-18 00:00:00 +0000,43,x, ,0,D000071057
C00199257,"",          ,Genentech Inc,25030,25000,30,2022-04-18 00:00:00 +0000,44, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union              ,25030,25000,30,2022-04-18 00:00:00 +0000,44, , ,0,          
C00163832,"",D000000148,CSX Corp,25000,25000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000148
C00009282,"",D000019639,Norfolk Southern,25000,25000,0,2022-04-18 00:00:00 +0000,46,x, ,1,D000019639
C00029504,"",D000000139,Operating Engineers Union,25000,25000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000139
         ,"",D000069479,Cooper House,24950,0,24950,2022-04-18 00:00:00 +0000,49, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",24550,9000,15550,2022-04-18 00:00:00 +0000,50, , ,0,          
C00251876,"",D000000391,Amgen Inc,23315,22500,815,2022-04-18 00:00:00 +0000,51,x, ,1,D000000391
C00027359,"",D000000140,Ironworkers Union,23000,23000,0,2022-04-18 00:00:00 +0000,52,x, ,0,D000000140
         ,"",D000072028,Valve Corp,22700,0,22700,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000036616,Perkins Coie,22697,0,22697,2022-04-18 00:00:00 +0000,54, ,x,0,D000036616
C00007922,"",D000000074,Laborers Union,22500,22500,0,2022-04-18 00:00:00 +0000,55,x, ,1,D000000074
C00004812,"",D000000309,Mortgage Bankers Assn,22500,22500,0,2022-04-18 00:00:00 +0000,55,x, ,0,D000000309
         ,"",D000000333,"Kleiner, Perkins et al",22400,0,22400,2022-04-18 00:00:00 +0000,57,x, ,0,D000000333
C00410589,"",D000024686,Cerner Corp,22000,22000,0,2022-04-18 00:00:00 +0000,58,x, ,0,D000024686
         ,"",D000033805,Fred Hutchinson Cancer Research Center,21955,0,21955,2022-04-18 00:00:00 +0000,59, , ,0,          
C00193433,"",D000000113,EMILY's List,21726,5000,16726,2022-04-18 00:00:00 +0000,60, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,21507,21500,7,2022-04-18 00:00:00 +0000,61,x, ,0,D000000061
         ,"",D000021935,Cooney & Conway,21300,0,21300,2022-04-18 00:00:00 +0000,62, , ,0,          
C00493940,"",D000053441,Masimo Corp,21100,5000,16100,2022-04-18 00:00:00 +0000,63, , ,0,          
C00034157,"",D000000126,AFLAC Inc,21000,21000,0,2022-04-18 00:00:00 +0000,64,x, ,0,D000000126
         ,"",D000068981,Woodbranch Investments,20800,0,20800,2022-04-18 00:00:00 +0000,65, , ,0,          
C00361758,"",D000022272,T-Mobile USA,20620,20000,620,2022-04-18 00:00:00 +0000,66,x, ,1,D000022272
C00450916,"",D000031673,Asurion LLC,20600,9000,11600,2022-04-18 00:00:00 +0000,67, , ,0,          
C00283135,"",D000022129,National Assn of Health Underwriters,20500,20500,0,2022-04-18 00:00:00 +0000,68,x, ,0,D000022129
         ,"",D000036885,Puyallup Tribe of Indians,20400,0,20400,2022-04-18 00:00:00 +0000,69,x, ,0,D000036885
         ,"",D000000703,Costco Wholesale,20186,0,20186,2022-04-18 00:00:00 +0000,70,x, ,0,D000000703
C70003124,"",D000000077,Service Employees International Union,20037,15000,5037,2022-04-18 00:00:00 +0000,71,x, ,0,D000000077
C00039578,"",D000000433,Council of Insurance Agents & Brokers,20000,20000,0,2022-04-18 00:00:00 +0000,72,x, ,0,D000000433
C00144766,"",D000000101,National Beer Wholesalers Assn,20000,20000,0,2022-04-18 00:00:00 +0000,72,x, ,0,D000000101
C00144345,"",          ,Sanofi US,20000,20000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000072429,Tableau Software,19463,0,19463,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000034797,Jamestown S'Klallam Tribe,18800,0,18800,2022-04-18 00:00:00 +0000,76,x, ,0,D000034797
C00064766,"",D000000081,United Parcel Service,18776,18500,276,2022-04-18 00:00:00 +0000,77,x, ,1,D000000081
         ,"",D000032618,"City of Seattle, WA",18698,0,18698,2022-04-18 00:00:00 +0000,78, , ,0,          
C00544957,"",D000072000,US Acute Care Solutions,18500,7500,11000,2022-04-18 00:00:00 +0000,79, , ,0,          
C00034405,"",D000000171,International Paper,18379,12500,5879,2022-04-18 00:00:00 +0000,80,x, ,0,D000000171
C00128512,"",D000000103,JPMorgan Chase & Co,18281,15000,3281,2022-04-18 00:00:00 +0000,81,x, ,0,D000000103
         ,"",          ,Amsc,18200,0,18200,2022-04-18 00:00:00 +0000,82, , ,0,          
C00462630,"",D000021942,Covington & Burling,18000,6000,12000,2022-04-18 00:00:00 +0000,83, ,x,0,D000021942
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,17500,17500,0,2022-04-18 00:00:00 +0000,84,x, ,0,D000000606
         ,"",D000088344,Washington Women's Foundation,17500,0,17500,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Hamsterhead Inc,17400,0,17400,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000094149,Aditi Consulting,17200,0,17200,2022-04-18 00:00:00 +0000,87, , ,0,          
C00271007,"",D000000652,Humana Inc                              ,15962,10000,5962,2022-04-18 00:00:00 +0000,88,x, ,0,D000000652
C00574103,"",D000070989,US Anesthesia Partners,15650,5000,10650,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000023649,Chickasaw Nation,15600,0,15600,2022-04-18 00:00:00 +0000,90,x, ,0,D000023649
C00186288,"",D000000079,Verizon Communications,15545,15500,45,2022-04-18 00:00:00 +0000,91,x, ,2,D000000079
C00089136,"",D000000067,Altria Group,15500,15000,500,2022-04-18 00:00:00 +0000,92, , ,0,          
C00006080,"",D000000192,American Health Care Assn,15500,13500,2000,2022-04-18 00:00:00 +0000,92,x, ,0,D000000192
C00274431,"",D000000348,UnitedHealth Group,15177,12500,2677,2022-04-18 00:00:00 +0000,94,x, ,1,D000000348
C00024869,"",D000000125,General Electric,15165,15000,165,2022-04-18 00:00:00 +0000,95,x, ,1,D000000125
C00035675,"",D000000149,Bristol-Myers Squibb,15069,15000,69,2022-04-18 00:00:00 +0000,96,x, ,0,D000000149
C00502906,"",D000033563,Meta,15062,10000,5062,2022-04-18 00:00:00 +0000,97, , ,0,          
C00536573,"",D000066804,AbbVie Inc,15003,15000,3,2022-04-18 00:00:00 +0000,98,x, ,0,D000066804
C00000729,"",D000000105,American Dental Assn,15000,15000,0,2022-04-18 00:00:00 +0000,99,x, ,0,D000000105
C00333104,"",D000024013,American Soc/Pension Prof & Actuaries,15000,15000,0,2022-04-18 00:00:00 +0000,99,x, ,0,D000024013
         ,"",          ,Mor-Pac,15000,0,15000,2022-04-18 00:00:00 +0000,99, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,15000,15000,0,2022-04-18 00:00:00 +0000,99,x, ,0,D000000202
         ,"",D000088043,Wilburforce Foundation,15000,0,15000,2022-04-18 00:00:00 +0000,99, , ,0,          
