pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000022205,Proskauer Rose,24100,0,24100,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000092733,Standard Motor Products,19600,0,19600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000035184,Kreindler & Kreindler,17800,0,17800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022217,Related Companies,16600,0,16600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000022233,Point72 Asset Management,15000,0,15000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00441949,"",          ,JStreetPAC,14033,1500,12533,2022-04-18 00:00:00 +0000,6, , ,0,          
C00418095,"",D000025897,"Fragomen, Del Rey et al",13300,0,13300,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,NOT EMPLOYED,13251,0,13251,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000468,Estee Lauder Companies,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000033773,Four M Investments,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036151,Nederlander Organization,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Phibro,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000609,Allen & Co,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032938,Credit Renaissance Partners,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000073428,Rxr Realty,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Trine Acquisition,10800,0,10800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
