pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00461418,"",D000070323,National Union of Healthcare Workers,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,4000,4000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00109017,"",D000000076,AT&T Inc,3500,3500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00001636,"",          ,SMART Transportation Division,3000,3000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,2500,2500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00553834,"",          ,Otsuka America,2500,2500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00177469,"",D000000290,PG&E Corp,2500,2500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,2500,2500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000045236,United Auburn Indian Community,2500,0,2500,2022-04-18 00:00:00 +0000,10, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,2500,2500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00797530,"",D000046464,Aerovironment Inc,2250,0,2250,2022-04-18 00:00:00 +0000,18, , ,0,          
C00354548,"",D000031514,American Water Works Co,2000,2000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,County Executives of America,2000,0,2000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2000,2000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,2000,0,2000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00691634,"",D000043499,Advanced Drainage Systems,1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00567883,"",D000046800,American Academy of Child & Adolescent Psychiatry,1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Carnival Cruise Lines,1500,0,1500,2022-04-18 00:00:00 +0000,23, , ,0,          
C00076810,"",D000000155,General Motors,1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00060707,"",D000000450,National Assn of Social Workers,1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00103549,"",D000022175,Parsons Corp,1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00236083,"",D000028850,S&B Engineers & Constructors,1500,1500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
