pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000081820,View Inc,46400,0,46400,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,37700,0,37700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00546119,"",          ,Select Medical Corp,32500,20000,12500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00215046,"",D000000328,Fidelity Investments                    ,31800,15000,16800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00469205,"",D000053595,Mednax Inc,25000,15000,10000,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000343,Northwestern Mutual,24500,8500,16000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000072051,Accel Inc,23200,0,23200,2022-04-18 00:00:00 +0000,7, , ,0,          
C00388827,"",D000066716,Rock Holdings,20800,15000,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
C00089136,"",D000000067,Altria Group,17500,17500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,17500,17500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00068692,"",D000000089,FedEx Corp,17000,17000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00105981,"",D000000262,Investment Co Institute,16000,16000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00186288,"",D000000079,Verizon Communications,15500,15500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00158881,"",D000000249,New York Life Insurance,15400,12500,2900,2022-04-18 00:00:00 +0000,14, , ,0,          
C00540518,"",D000021890,Capital Group Companies,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00326595,"",D000021891,Capital One Financial,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00104802,"",D000000350,Delta Air Lines,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00078451,"",D000000165,General Dynamics,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00024869,"",D000000125,General Electric,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00552083,"",D000061572,"Hall, Render et al",15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,15000,15000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
