pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,37227,0,37227,2022-04-18 00:00:00 +0000,1, , ,0,          
C00137729,"",D000026499,Holland & Hart,28630,2500,26130,2022-04-18 00:00:00 +0000,2, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",25000,0,25000,2022-04-18 00:00:00 +0000,3, , ,0,          
C00731000,"",D000068058,Airbnb Inc,15600,0,15600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000033344,East West Partners,15600,0,15600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Heizer & Co,15600,0,15600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000062139,Leith Ventures,12900,0,12900,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,New Belgium Brewing,11700,0,11700,2022-04-18 00:00:00 +0000,8, , ,0,          
C00468314,"",D000025328,Democracy Engine,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000061340,Foundry Group,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000061355,Franklin D Azar & Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000090792,Wolf Interests,10100,0,10100,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Elevations Credit Union,8975,0,8975,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Sonnenalp Real Estate,8600,0,8600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00248716,"",D000000461,Comcast Corp,8522,8500,22,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Leaffer Law Group,8400,0,8400,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000092085,Guild Education,8100,0,8100,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000068048,Draftkings,7900,0,7900,2022-04-18 00:00:00 +0000,19, , ,0,          
C00284885,"",D000000419,Home Depot,7505,7500,5,2022-04-18 00:00:00 +0000,20, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037242,"Lewis, Roca et al",6800,0,6800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Holt Group (Colorado),6050,0,6050,2022-04-18 00:00:00 +0000,23, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,6000,6000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Sandy River Co,6000,0,6000,2022-04-18 00:00:00 +0000,24, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000070423,Arista Networks,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000071802,Bohemian Companies,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000032033,Bohemian Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000090867,Boulder Abortion Clinic,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000043759,Butcher Management,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Colorado Impact Fund,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000088000,"Haddon, Morgan & Foreman",5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Monroe Group,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000076704,Sawaya Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000029534,Tunica-Biloxi Tribe of Louisiana,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Weston Capital,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,KRG Capital,5700,0,5700,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000031778,Balfour Senior Living,5600,0,5600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,PN Eklund Interests,5505,0,5505,2022-04-18 00:00:00 +0000,41, , ,0,          
C00580894,"",D000030766,Vail Resorts,5460,2500,2960,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Fiberlok,5130,0,5130,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000037790,State of Colorado,5112,0,5112,2022-04-18 00:00:00 +0000,44, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5001,5000,1,2022-04-18 00:00:00 +0000,45, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00034488,"",          ,Anheuser-Busch,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00280222,"",D000019986,KPMG LLP,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000020995,UBS AG,5000,3500,1500,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000070413,Vision Ridge Partners,5000,0,5000,2022-04-18 00:00:00 +0000,46, , ,0,          
C00261339,"",D000059877,Hogan Lovells                           ,4800,0,4800,2022-04-18 00:00:00 +0000,58, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,4500,4500,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000030653,University of Colorado                  ,4426,0,4426,2022-04-18 00:00:00 +0000,60, , ,0,          
C00344754,"",D000000686,"Gibson, Dunn & Crutcher",4300,0,4300,2022-04-18 00:00:00 +0000,61, , ,0,          
C00039461,"",D000024239,Ball Corp,4270,3000,1270,2022-04-18 00:00:00 +0000,62, , ,0,          
C00303024,"",D000000104,Lockheed Martin,4172,4000,172,2022-04-18 00:00:00 +0000,63, , ,0,          
