pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Valmore Gp,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,10156,0,10156,2022-04-18 00:00:00 +0000,5, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000089039,Matador Resources,9750,0,9750,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Pcca,9420,0,9420,2022-04-18 00:00:00 +0000,8, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,9000,9000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000772,Station Casinos,8325,0,8325,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Gateway Mortgage,8000,0,8000,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Kenosha.Com,7500,0,7500,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5825,0,5825,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000022288,TRT Holdings                            ,5803,0,5803,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5801,0,5801,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Houston Methodist Hospital,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
