pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Battelle,27400,0,27400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00301929,"",D000026977,"Kelley, Drye & Warren                   ",19700,5000,14700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,17500,17500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Goodman Real Estate,17400,0,17400,2022-04-18 00:00:00 +0000,4, , ,0,          
C00360354,"",D000023883,Amazon.com,15050,15000,50,2022-04-18 00:00:00 +0000,5, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00227546,"",D000000115,Microsoft Corp,12400,7500,4900,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Aperture Group,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00608943,"",          ,ClearPath Action,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000043508,Trilogy Partnership,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,11500,11500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Amsc,11300,0,11300,2022-04-18 00:00:00 +0000,12, , ,0,          
C00350744,"",D000000085,Goldman Sachs,11200,0,11200,2022-04-18 00:00:00 +0000,13, , ,0,          
C00103697,"",D000000237,Bechtel Group,10750,10000,750,2022-04-18 00:00:00 +0000,14, , ,0,          
C00089136,"",D000000067,Altria Group,10000,5000,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00480228,"",D000045959,Continuing America's Strength & Security,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00204099,"",D000000408,Deere & Co,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00522425,"",          ,Future First Leadership PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Gordon Thomas,10000,0,10000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00377689,"",D000022207,Prosperity Action,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00001636,"",          ,SMART Transportation Division,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00065219,"",D000000711,Wine Institute,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,N/A Tribe,9700,0,9700,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000067357,S-3 Group,8300,0,8300,2022-04-18 00:00:00 +0000,26, , ,0,          
C00426775,"",D000000672,Charter Communications,7500,7500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
