pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00027342,"",D000000069,International Brotherhood of Electrical Workers,25000,25000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00743468,"",D000034521,Holtec International,24700,10000,14700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,23160,0,23160,2022-04-18 00:00:00 +0000,3, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,18000,18000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00125534,"",          ,Roofers Union Local 30,15800,15800,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000092723,Cornell & Co,14500,0,14500,2022-04-18 00:00:00 +0000,9, , ,0,          
C00142711,"",D000000100,Boeing Co,13000,13000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12500,12500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00027359,"",D000000140,Ironworkers Union,12500,12500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,12000,12000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000084135,Cherry Hill Dodge,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000043450,Parker McCay,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000030215,Sutherland Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000061745,Hunt Companies,10800,0,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00003632,"",D000000302,Bricklayers Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00303024,"",D000000104,Lockheed Martin,10000,8500,1500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C70000492,"",D000000064,National Education Assn,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00088591,"",D000000170,Northrop Grumman,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00286401,"",D000000145,Seafarers International Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00281212,"",D000000583,BAE Systems,9000,9000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000021757,Berkshire Hathaway,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,"O'Brien, Belland & Bushinsky",8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000055412,Phoenix Advisors,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000045105,Phoenix Strategies,8700,0,8700,2022-04-18 00:00:00 +0000,33, , ,0,          
C00319905,"",          ,Plasterers Union Local 592,8700,8700,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,8500,8500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00096156,"",D000000334,Honeywell International,8000,8000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00431072,"",D000024233,"Baker, Donelson et al                   ",7650,1000,6650,2022-04-18 00:00:00 +0000,40, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00383489,"",D000000612,Public Service Enterprise Group,7500,7500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00411116,"",D000029147,SpaceX,7500,7500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000044625,Acacia Financial Group,7250,0,7250,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,County of Camden,7000,0,7000,2022-04-18 00:00:00 +0000,46, , ,0,          
C00078451,"",D000000165,General Dynamics,7000,7000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00007922,"",D000000074,Laborers Union,7000,7000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00275123,"",          ,Leonardo DRS,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Aldercrest Development,5800,0,5800,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000021873,Blackstone Group,5800,0,5800,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000048566,Charter School Management,5800,0,5800,2022-04-18 00:00:00 +0000,50, , ,0,          
