pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Grunley Construction,7500,0,7500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00001636,"",          ,SMART Transportation Division,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00004861,"",D000022292,UNITE HERE,5000,5000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Wc Smith,5000,0,5000,2022-04-18 00:00:00 +0000,2, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,4000,4000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00068692,"",D000000089,FedEx Corp,3500,3500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,3500,3500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Hoffman & Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Indian American International Coc,2900,0,2900,2022-04-18 00:00:00 +0000,15, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,2500,2500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,2500,2500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,2500,2500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,2500,2500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,2500,2500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,2000,2000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
