pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,89700,0,89700,2022-04-18 00:00:00 +0000,1, , ,0,          
C00484535,"",D000065181,Votesane PAC,61500,0,61500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00382796,"",D000035370,LHC Group,22400,0,22400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000068912,Ryan Specialty Group,17400,0,17400,2022-04-18 00:00:00 +0000,4, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,15070,15000,70,2022-04-18 00:00:00 +0000,5, , ,0,          
C00422774,"",          ,Frontline USA,13610,2500,11110,2022-04-18 00:00:00 +0000,6, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,12900,10000,2900,2022-04-18 00:00:00 +0000,7, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,12000,12000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021935,Cooney & Conway,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00248716,"",D000000461,Comcast Corp,11000,10000,1000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00477653,"",D000000768,Cox Enterprises,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9900,7000,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000090486,Western Process Computers,9000,0,9000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000089169,Mighty Bum LLC,8800,0,8800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000065774,Richmond Global,8700,0,8700,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,United Generations,8700,0,8700,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000028874,Salt River Project,8550,8500,50,2022-04-18 00:00:00 +0000,23, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00024968,"",D000000194,American Optometric Assn,7500,7500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00426775,"",D000000672,Charter Communications,7500,7500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00085316,"",D000000222,Cigna Corp,7500,7500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00617803,"",          ,Jobs Education & Families First,7500,7500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000035245,Nexxus Consulting,7500,0,7500,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Thomas M Tully & Assoc,7500,0,7500,2022-04-18 00:00:00 +0000,26, , ,0,          
C00008268,"",D000000178,Transport Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,NOT EMPLOYED,7490,0,7490,2022-04-18 00:00:00 +0000,33, , ,0,          
C00109017,"",D000000076,AT&T Inc,7250,7500,-250,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000076883,Wellington Consulting Group,7200,0,7200,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Guadalupe Maintenance Co,6700,0,6700,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Truwest Credit Union,6700,0,6700,2022-04-18 00:00:00 +0000,36, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,6500,6500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,6500,6500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000030646,University of Arizona,6155,0,6155,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Eb5 New York State                                ,6050,0,6050,2022-04-18 00:00:00 +0000,41, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,6040,6000,40,2022-04-18 00:00:00 +0000,42, , ,0,          
C00384818,"",D000025214,CVS Health,6013,6000,13,2022-04-18 00:00:00 +0000,43, , ,0,          
C00008169,"",D000013530,Missouri ACRE,6000,6000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,6000,5000,1000,2022-04-18 00:00:00 +0000,44, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,6000,6000,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Ledbetter Law Firm                                ,5950,0,5950,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Massachusetts General Hospital,5809,0,5809,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000031469,American Capital,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000031533,Analysis Group,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Aon Benfield,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Aperture Group,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Arch Re,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000021849,Ariel Investments,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000021867,Baupost Group,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000070483,Blue Haven Initiative,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000043616,Bluestem Asset Management,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000032033,Bohemian Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Capital Research Global Investors,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000086982,Don Bennett Moon Pc,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000073748,Geolo Capital,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000051349,Global Crop Diversity Trust,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000085570,GPW & Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Hmr,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000084276,LifeYield,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000035437,Lone Pine Capital,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,McAuliffe Law Office Pllc,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Norwood Builder,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Pathway Vets,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000055490,Planetary Science Institute,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Pml,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000072042,Pritzker Organization,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000056256,Roundtable Healthcare Partners,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000065090,Sol Goldman Investments,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Southern Arizona Greyhound Racing,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Sterling Berg Co,5800,0,5800,2022-04-18 00:00:00 +0000,49, , ,0,          
C00089136,"",D000000067,Altria Group,5500,5000,500,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000090133,Rmb Iii Consultancy,5400,0,5400,2022-04-18 00:00:00 +0000,79, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5390,1000,4390,2022-04-18 00:00:00 +0000,80, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5100,5000,100,2022-04-18 00:00:00 +0000,81, , ,0,          
C00096156,"",D000000334,Honeywell International,5040,5000,40,2022-04-18 00:00:00 +0000,82, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5025,5000,25,2022-04-18 00:00:00 +0000,83, , ,0,          
C00424143,"",D000026656,Alliance for Pharmacy Compounding,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00338020,"",D000024157,Argentum,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00430579,"",D000024452,Brave PAC,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00397851,"",D000024670,Centene Corp,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00692202,"",          ,Courage to Change,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00576090,"",          ,Evergreen PAC,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00574970,"",          ,Fair Shot PAC,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00495028,"",D000064423,House Majority PAC,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000061795,Influence At Work,5000,0,5000,2022-04-18 00:00:00 +0000,84, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Kemper Sports,5000,0,5000,2022-04-18 00:00:00 +0000,84, , ,0,          
C00419911,"",D000024683,Lumen Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00349225,"",          ,National Assn of Spine Specialists,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00202184,"",D000027883,National Rural Water Assn,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00615203,"",D000070694,Senior Care Pharmacy Coalition,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00410308,"",D000029039,Shore PAC,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00473116,"",          ,Three Rivers PAC,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00186288,"",D000000079,Verizon Communications,5000,5000,0,2022-04-18 00:00:00 +0000,84, , ,0,          
