pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Eagle Creek Aviation,21400,0,21400,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Mgr Property Management,13600,0,13600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000050673,Esri,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00623173,"",D000071284,Karem Aircraft,10700,0,10700,2022-04-18 00:00:00 +0000,4, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Cothran Insurance Agency,9800,0,9800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000090178,Exquadrum Inc,6800,0,6800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000068060,Clearpath Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Colonies Partners LP,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Snow Sugar Shop,5800,0,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000032238,California Strategies,5600,0,5600,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Steadfast Co,5400,0,5400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Amada Franchise,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00469429,"",D000065616,CMR PAC,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Jefferson Manor,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00387274,"",D000027966,New Majority PAC,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00411116,"",D000029147,SpaceX,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000023639,Morongo Band Of Mission Indians,4800,0,4800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Eagle Creek Aviation Services,4000,0,4000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034677,Innovative Federal Strategies,4000,0,4000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00433060,"",D000029531,Republican Governance Group,4000,4000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000044703,Burrtec Waste Industries,3900,0,3900,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Greiner Buick Gmc,3900,0,3900,2022-04-18 00:00:00 +0000,24, , ,0,          
C00319723,"",D000054186,National Business Aviation Assn,3500,3500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00040394,"",D000000480,Williams Companies,3500,3500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Icr Staffing,3000,0,3000,2022-04-18 00:00:00 +0000,28, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Prime Investors,3000,0,3000,2022-04-18 00:00:00 +0000,28, , ,0,          
C00165159,"",D000028615,Republican Main Street Partnership,3000,3000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000045278,Wintec Energy,3000,0,3000,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000023655,Agua Caliente Band of Cahuilla Indians,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Choice Medical Group,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Hartnell House,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000044945,Johnson Machinery,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,La Police Gear,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000023641,Pechanga Band of Luiseno Mission Indians,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
C00408344,"",D000028883,San Bernardino County Sheriff's Employees Assn,2900,2900,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000063533,Steadfast Companies,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,2900,0,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Chaps Leasing,2800,0,2800,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Prem Reddy Foundation,2800,0,2800,2022-04-18 00:00:00 +0000,42, , ,0,          
C00364109,"",D000023930,America's Communications Assn,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00027532,"",          ,American Maritime Officers,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00024968,"",D000000194,American Optometric Assn,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00389429,"",          ,CalPortland Co,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00085316,"",D000000222,Cigna Corp,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00019653,"",D000000239,Edison International,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00236489,"",D000000186,Koch Industries,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00738260,"",          ,Point Action PAC,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00076737,"",D000029141,Southwest Gas,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,2500,2500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000022111,"Mehlman, Castagnetti et al",2250,0,2250,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000021816,Alpine Group,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Armac Insurance,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Assoc Realty Group,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00109017,"",D000000076,AT&T Inc,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Bagdad Chase Co,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00248716,"",D000000461,Comcast Corp,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Dehart Construction,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Jason Smith for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Louie Stettler Alc,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000036389,Oneida Indian Nation,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Patricia Hicks & Assoc,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00177469,"",D000000290,PG&E Corp,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00237065,"",D000000442,Portland Cement Assn,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000056439,Santa Ynez Band of Chumash Indians,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000037401,Scalise for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000069195,Scripps College,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00144774,"",D000000168,Southern Co                             ,2000,2000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000063947,W Strategies,2000,0,2000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Jet Propulsion Laboratory,1750,0,1750,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000068962,Farragut Partners,1500,0,1500,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Pinnacle Real Estate Holdings,1500,0,1500,2022-04-18 00:00:00 +0000,79, , ,0,          
C00633107,"",D000056576,Security Industry Assn,1500,1500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,St Regis Band of Mohawk Indians Of New York,1500,0,1500,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Rna,1260,0,1260,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,"Armstrong Fairway Insurance Agency, In",1250,0,1250,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Environmental Logistics,1250,0,1250,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000073426,Pencor Services,1100,0,1100,2022-04-18 00:00:00 +0000,86, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,1000,1000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
C00197715,"",D000029827,American Pistachio Growers,1000,1000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Barbre Assoc,1000,0,1000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Barnesboro Flp,1000,0,1000,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Big Bear Disposal,1000,0,1000,2022-04-18 00:00:00 +0000,87, , ,0,          
C00142711,"",D000000100,Boeing Co,1000,1000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
C00111880,"",          ,CEMEX Inc,1000,1000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
C00035006,"",D000000015,Chevron Corp,1000,1000,0,2022-04-18 00:00:00 +0000,87, , ,0,          
