pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000067823,Alphabet Inc,28100,0,28100,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021915,"City of New York, NY",19155,0,19155,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000406,University of California                ,18365,0,18365,2022-04-18 00:00:00 +0000,3, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,13552,0,13552,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,NOT EMPLOYED,12320,0,12320,2022-04-18 00:00:00 +0000,5, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,12281,0,12281,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000030667,University of Maryland,11280,0,11280,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021754,Apple Inc,9849,0,9849,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032620,City University of New York             ,9632,0,9632,2022-04-18 00:00:00 +0000,9, , ,0,          
C00502906,"",D000033563,Meta,9104,0,9104,2022-04-18 00:00:00 +0000,10, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,8401,0,8401,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000812,State of California,8212,0,8212,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Audio Recording Engineer,6707,0,6707,2022-04-18 00:00:00 +0000,13, , ,0,          
C00125641,"",D000000804,Intel Corp,6397,0,6397,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034986,Kaiser Permanente,6389,0,6389,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022297,University of Washington,6389,0,6389,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000023074,US Air Force,6339,0,6339,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000030737,US Postal Service,6280,0,6280,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000000720,IBM Corp,6276,0,6276,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Allied Consultants,6235,0,6235,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000035453,"Los Angeles County, CA",5841,0,5841,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Arnall-X-0ak LLC,5797,0,5797,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000022300,US Government,5643,0,5643,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000021927,Columbia University,5530,0,5530,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000023342,US Army,5108,0,5108,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000032237,California State University             ,5040,0,5040,2022-04-18 00:00:00 +0000,26, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5015,5000,15,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Chris Pappas for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Conor Lamb for Senate,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Elissa Slotkin for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Tom O'Halleran for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Helpern Architects,4692,0,4692,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000030730,US Dept of Veterans Affairs             ,4680,0,4680,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000058705,Worcester Polytechnic Institute,4625,0,4625,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022299,US Dept of Defense,4600,0,4600,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000037348,San Diego State University,4559,0,4559,2022-04-18 00:00:00 +0000,36, , ,0,          
C70003124,"",D000000077,Service Employees International Union,4530,2500,2030,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000032877,Cornell University                      ,4440,0,4440,2022-04-18 00:00:00 +0000,38, , ,0,          
C00323048,"",D000000422,Oracle Corp                             ,4425,0,4425,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000036514,Park Foundation,4300,0,4300,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Premier Gear & Machine Works,4200,0,4200,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000030072,State University of New York            ,4181,0,4181,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000070585,Chg Healthcare Services,4100,0,4100,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000022331,Yale University,3922,0,3922,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000000544,Harvard University,3919,0,3919,2022-04-18 00:00:00 +0000,45, , ,0,          
C00248716,"",D000000461,Comcast Corp,3653,0,3653,2022-04-18 00:00:00 +0000,46, , ,0,          
C00337626,"",D000000106,Morgan Stanley,3622,0,3622,2022-04-18 00:00:00 +0000,47, , ,0,          
C00300707,"",D000000786,Accenture,3612,0,3612,2022-04-18 00:00:00 +0000,48, , ,0,          
C00093054,"",D000000367,Walmart Inc,3583,0,3583,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,3552,0,3552,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000060683,Clark County School District,3547,0,3547,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000022296,University of Texas                     ,3542,0,3542,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,NG Investments,3524,0,3524,2022-04-18 00:00:00 +0000,53, , ,0,          
C00186288,"",D000000079,Verizon Communications,3523,0,3523,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000035456,Los Angeles Unified School District,3437,0,3437,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000035442,Long Island University,3421,0,3421,2022-04-18 00:00:00 +0000,56, , ,0,          
C70000492,"",D000000064,National Education Assn,3412,2000,1412,2022-04-18 00:00:00 +0000,57, , ,0,          
C00107235,"",D000000124,PriceWaterhouseCoopers,3361,0,3361,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000030573,Tufts University,3287,0,3287,2022-04-18 00:00:00 +0000,59, , ,0,          
