pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00326595,"",D000021891,Capital One Financial,11723,0,11723,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Acorn Hill,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00731000,"",D000068058,Airbnb Inc,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Ali Berry Md Pc,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Ncp M,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Fashion Carpet,10000,0,10000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Sehc,10000,0,10000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032247,Camac International,9700,0,9700,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Senior Care Medical Group Pllc,7800,0,7800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000406,University of California                ,7781,0,7781,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000067823,Alphabet Inc,7756,0,7756,2022-04-18 00:00:00 +0000,12, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Famvans,7500,0,7500,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Dana Investment,6800,0,6800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,I&R Construction,6800,0,6800,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,NOT EMPLOYED,6624,0,6624,2022-04-18 00:00:00 +0000,17, , ,0,          
C00468314,"",D000025328,Democracy Engine,6300,0,6300,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Ieec,6300,0,6300,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,NG Investments,6248,0,6248,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Rms,6050,0,6050,2022-04-18 00:00:00 +0000,21, , ,0,          
C00678839,"",D000072282,Indivisible Action,6000,6000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Be Glad,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000065541,Cimpress NV,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,City Best Insurance Services,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Cook & Baker,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000033537,Evercore,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Expert Mri,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Falcon Engineering Services,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Gmz Engineering,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000087969,IDS Real Estate Group,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Osp,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Pharmascript of Mi,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Red Cap Health,5800,0,5800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,East African Healing,5500,0,5500,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,7 Diamonds Clothing Co,5400,0,5400,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Cardiac Institute,5325,0,5325,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000070951,National Iranian American Council,5250,5000,250,2022-04-18 00:00:00 +0000,39, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5150,5000,150,2022-04-18 00:00:00 +0000,40, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,5059,5000,59,2022-04-18 00:00:00 +0000,41, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
