pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000067823,Alphabet Inc,1134734,0,1134734,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000406,University of California,741651,0,741651,2022-04-18 00:00:00 +0000,2, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,395569,0,395569,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021754,Apple Inc,376259,0,376259,2022-04-18 00:00:00 +0000,4, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,356673,0,356673,2022-04-18 00:00:00 +0000,5, , ,0,          
C00502906,"",D000033563,Meta,269854,0,269854,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000022300,US Government,246145,0,246145,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034986,Kaiser Permanente                       ,235808,0,235808,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000750,Stanford University                     ,222263,0,222263,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000033433,Emory University                        ,209536,0,209536,2022-04-18 00:00:00 +0000,10,x, ,0,D000033433
         ,"",D000000544,Harvard University                      ,207525,0,207525,2022-04-18 00:00:00 +0000,11, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,203635,0,203635,2022-04-18 00:00:00 +0000,12, , ,0,          
C00468314,"",D000025328,Democracy Engine,188642,0,188642,2022-04-18 00:00:00 +0000,13, , ,0,          
C90014028,"",D000052457,J Street,184734,759,183975,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000812,State of California                     ,183740,0,183740,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000030723,US Dept of Health & Human Services      ,181625,0,181625,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000720,IBM Corp                                ,179301,0,179301,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000021915,"City of New York, NY",154918,0,154918,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000021927,Columbia University,147654,0,147654,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000022297,University of Washington,146165,0,146165,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Warner Brothers Discovery,141943,0,141943,2022-04-18 00:00:00 +0000,21, , ,0,          
C00511600,"",D000037335,Salesforce.Com                          ,130528,0,130528,2022-04-18 00:00:00 +0000,22, , ,0,          
C00323048,"",D000000422,Oracle Corp                             ,125403,0,125403,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000022154,New York University,118852,0,118852,2022-04-18 00:00:00 +0000,24, , ,0,          
C00248716,"",D000000461,Comcast Corp,118613,0,118613,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology,115730,0,115730,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000036528,Mass General Brigham,114328,0,114328,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000030730,US Dept of Veterans Affairs,114211,0,114211,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022296,University of Texas                     ,109690,0,109690,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000022295,University of Pennsylvania              ,108563,0,108563,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000021767,National Amusements Inc,106201,0,106201,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000022299,US Dept of Defense                      ,105358,0,105358,2022-04-18 00:00:00 +0000,32, , ,0,          
