pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000070384,Hueston Hennigan Llp,135400,0,135400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00248716,"",D000000461,Comcast Corp,72925,10000,62925,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,E&J Gallo Winery,60825,0,60825,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000032895,"Cotchett, Pitre & McCarthy",40550,0,40550,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000063162,"Robbins, Geller et al",37950,0,37950,2022-04-18 00:00:00 +0000,5, , ,0,          
C00019653,"",D000000239,Edison International,35200,10000,25200,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Parkia Inc,34800,0,34800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",34600,0,34600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000406,University of California                ,32156,0,32156,2022-04-18 00:00:00 +0000,9, , ,0,          
C00731000,"",D000068058,Airbnb Inc,30700,2500,28200,2022-04-18 00:00:00 +0000,10, , ,0,          
C00493940,"",D000053441,Masimo Corp,29834,5634,24200,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,29653,11000,18653,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000812,State of California                     ,29223,0,29223,2022-04-18 00:00:00 +0000,13, , ,0,          
C00743823,"",D000067782,Lyft Inc,28300,5000,23300,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000053134,Live Nation Entertainment,28212,0,28212,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000034986,Kaiser Permanente,27896,0,27896,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000063612,SV Angel LLC,27400,0,27400,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000033285,"Dreyer, Babich et al                              ",27100,0,27100,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000024479,TelevisaUnivision,26400,2500,23900,2022-04-18 00:00:00 +0000,19, , ,0,          
C00151340,"",D000021569,DLA Piper,26100,4500,21600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000022170,Omnicom Group                           ,23550,0,23550,2022-04-18 00:00:00 +0000,21, , ,0,          
C00462630,"",D000021942,Covington & Burling,23400,5000,18400,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000067823,Alphabet Inc,23250,2000,21250,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000079706,Advanced Nutrients,23200,0,23200,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Lian Corp,23200,0,23200,2022-04-18 00:00:00 +0000,24, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,22900,8000,14900,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000031816,Barona Band of Mission Indians,22400,0,22400,2022-04-18 00:00:00 +0000,27,x, ,0,D000031816
         ,"",D000034015,Georgetown University,22000,0,22000,2022-04-18 00:00:00 +0000,28, , ,0,          
C00468314,"",D000025328,Democracy Engine,21600,0,21600,2022-04-18 00:00:00 +0000,29, , ,0,          
C00639674,"",          ,Endeavor,21400,10000,11400,2022-04-18 00:00:00 +0000,30, , ,0,          
C00139519,"",D000027729,Motion Picture Assn,21000,10000,11000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,NOT EMPLOYED,20782,0,20782,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000076301,Boundary Stone Partners,20500,0,20500,2022-04-18 00:00:00 +0000,33, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,20050,20000,50,2022-04-18 00:00:00 +0000,34, , ,0,          
C00007922,"",D000000074,Laborers Union,20000,20000,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000074
C00497131,"",D000070202,Purpose PAC,20000,20000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
