pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000087707,Kykenkee Inc,29000,0,29000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034309,Harbert Management,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Quor Venture Advisors,20800,0,20800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Innovations Group,20300,0,20300,2022-04-18 00:00:00 +0000,4, , ,0,          
C00077305,"",          ,Alabama Power,17500,17500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000033402,Elcan & Assoc,17400,0,17400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032097,Brasfield & Gorrie,12200,0,12200,2022-04-18 00:00:00 +0000,7, , ,0,          
C00236489,"",D000000186,Koch Industries,12000,12000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Aaa Cooper Trucking,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Ard Contracting,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Blackjack Gardens,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Coral Gables Trust,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034292,Hammer Lgc,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,McGruff Seibles,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000085283,Medical Properties Trust,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000092637,North Alabama Fabricating Co,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Dominion Partners,11200,0,11200,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000043815,Aaa Cooper Transportation,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000092248,Express Oil Change                                ,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000056632,Sexton Inc,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Franchise Development,10000,0,10000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000073417,Medquest Pharmacy,10000,0,10000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00567388,"",D000068622,Nexstar Media Group,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000069468,Deason Capital Services,8700,0,8700,2022-04-18 00:00:00 +0000,25, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Scotch/Gulf Lumber Co,6500,0,6500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,GCT,6000,0,6000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00342766,"",D000026132,HollyFrontier Corp,6000,6000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00359588,"",D000021679,BGR Group,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000092996,Cooper Construction (Alabama),5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000041285,Cooper/T Smith Corp,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
C00438754,"",          ,Energy Transfer Partners,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000050916,First Southern Services,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Fnbb,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000051477,Great Southern Wood Preserving,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Hollis & Spann                                    ,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Hunt Consolidated,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,M3 Resources,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
C00063164,"",D000000373,McDonald's Corp,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,McGriff Sabels & Williams,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000090568,McKinney Capital,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
