pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000109,Blue Cross/Blue Shield,20500,20500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,17500,17500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00106146,"",D000000116,American Hospital Assn,16300,10500,5800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00080135,"",D000024387,Blue Diamond Growers,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00096156,"",D000000334,Honeywell International,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00219444,"",D000027916,National Structured Settlements Trade Assn,13000,13000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00412098,"",D000024173,Association of KFC Franchisees,12500,12500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00034272,"",D000000568,National Chicken Council,12500,12500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00095869,"",D000000297,Edison Electric Institute,11500,8500,3000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00358663,"",D000021838,American Resort Development Assn,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00349746,"",D000021885,California Dairies Inc,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Church Brothers Farms,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00193631,"",D000000359,Farm Credit Council,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00447565,"",D000073638,Finseca,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00088591,"",D000000170,Northrop Grumman,8500,8500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,8300,2500,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Foothill Packing,7900,0,7900,2022-04-18 00:00:00 +0000,23, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00068692,"",D000000089,FedEx Corp,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00213173,"",D000000766,K&L Gates,7500,2000,5500,2022-04-18 00:00:00 +0000,24, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00418897,"",D000029722,VoteVets.org,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000072800,Mainspring Energy,7400,0,7400,2022-04-18 00:00:00 +0000,31, , ,0,          
C00359588,"",D000021679,BGR Group,7202,702,6500,2022-04-18 00:00:00 +0000,32, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00144774,"",D000000168,Southern Co,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00696591,"",D000088444,Across the Aisle PAC,6500,6500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00197715,"",D000029827,American Pistachio Growers,6500,6500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00764290,"",D000047842,Bloom Energy,6500,5000,1500,2022-04-18 00:00:00 +0000,35, , ,0,          
C00326595,"",D000021891,Capital One Financial,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00490474,"",D000052225,Insured Retirement Institute,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00686055,"",          ,Jackson National Life Insurance,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00388827,"",D000066716,Rock Holdings,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000087232,Beacon Global Strategies,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Cr Ventures LLC,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Sabor Farms,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Top Flavor Farms,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Valley Water,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000037205,Wonderful Co,5800,0,5800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Alpha Next,5798,0,5798,2022-04-18 00:00:00 +0000,51, , ,0,          
C00671693,"",D000052372,Institute for Portfolio Alternatives,5700,5700,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00247981,"",D000019355,Corteva Agriscience,5500,5500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00337626,"",D000000106,Morgan Stanley,5500,5500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00542365,"",          ,Toyota Motor North America,5500,5500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
C00065219,"",D000000711,Wine Institute,5500,5500,0,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000061745,Hunt Companies,5400,0,5400,2022-04-18 00:00:00 +0000,57, , ,0,          
C00323048,"",D000000422,Oracle Corp,5362,0,5362,2022-04-18 00:00:00 +0000,58, , ,0,          
C00109017,"",D000000076,AT&T Inc,5100,5000,100,2022-04-18 00:00:00 +0000,59, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00006080,"",D000000192,American Health Care Assn,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00000422,"",D000000068,American Medical Assn,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00411900,"",D000025642,Edwards Lifesciences,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00040725,"",          ,International Fresh Produce Assn,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00303024,"",D000000104,Lockheed Martin,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00163212,"",D000028189,Outdoor Amusement Business Assn,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Rava Ranches,5000,0,5000,2022-04-18 00:00:00 +0000,60, , ,0,          
