pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,89257,0,89257,2022-04-18 00:00:00 +0000,1, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,26450,1000,25450,2022-04-18 00:00:00 +0000,2, , ,0,          
C00422774,"",          ,Frontline USA,24985,5000,19985,2022-04-18 00:00:00 +0000,3, , ,0,          
C00550970,"",D000070371,Equality PAC,20500,20000,500,2022-04-18 00:00:00 +0000,4, , ,0,          
C00007922,"",D000000074,Laborers Union,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Puritan Backroom,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000065774,Richmond Global,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,10500,10000,500,2022-04-18 00:00:00 +0000,10, , ,0,          
C00458570,"",          ,A New Direction PAC,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00617803,"",          ,Jobs Education & Families First,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000037810,State of New Hampshire,9675,0,9675,2022-04-18 00:00:00 +0000,19, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",9500,9500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000037220,Ropes & Gray,8633,0,8633,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000030677,University of New Hampshire             ,8558,0,8558,2022-04-18 00:00:00 +0000,22, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00573261,"",          ,End Citizens United,7542,7500,42,2022-04-18 00:00:00 +0000,24, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00625988,"",D000070692,Future Forum PAC,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00300707,"",D000000786,Accenture,7300,0,7300,2022-04-18 00:00:00 +0000,28, , ,0,          
C00024521,"",D000000065,American Assn for Justice,7000,7000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000033047,Dartmouth College,7000,0,7000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000093988,Northland Forest Products,7000,0,7000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000000412,US House of Representatives,6895,0,6895,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000049993,Dartmouth-Hitchcock Medical Center,6675,0,6675,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000081408,Adirondack Council,6600,0,6600,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Massachusetts General Hospital,6170,0,6170,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000033155,Dewey Square Group,6050,0,6050,2022-04-18 00:00:00 +0000,36, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,6000,6000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000067823,Alphabet Inc,5814,0,5814,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000031435,Alsop Louie Partners,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000031533,Analysis Group,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000070423,Arista Networks,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000021867,Baupost Group,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000088466,Beacon Trust Co,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000031927,Berkshire Partners,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000070483,Blue Haven Initiative,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000032033,Bohemian Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Carson Family Charitable Trust,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Child & Family Services of Nh,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Ciao Andiamo,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000060800,Cooley Llp,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
C00785899,"",          ,Equality Project PAC,5800,5800,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000071415,Gfp Real Estate,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000051349,Global Crop Diversity Trust,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000034198,Greylock Partners,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000074183,Hudson River Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
C00753947,"",          ,La Bamba PAC,5800,5800,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000091651,Law Offices of R Stephen McNally,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000084276,LifeYield,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Loxo Oncology,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000035604,Marcus & Millichap,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Northland Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000075667,Planet Fitness,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000072042,Pritzker Organization,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000088975,Slate Path Capital,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000065090,Sol Goldman Investments,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Sotheby'S International Realty,5800,0,5800,2022-04-18 00:00:00 +0000,39, , ,0,          
