pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00546119,"",          ,Select Medical Corp,20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00247403,"",D000022158,NorPAC,14950,0,14950,2022-04-18 00:00:00 +0000,3, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,12300,9800,2500,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Fourth Edition,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000022217,Related Companies,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union              ,11500,11500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036372,Okonite Co,10800,0,10800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032258,Campbell & Levine,10500,0,10500,2022-04-18 00:00:00 +0000,9, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000080237,Doherty Enterprises,8700,0,8700,2022-04-18 00:00:00 +0000,15, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,7900,5000,2900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,RT 46 Auto Group,7800,0,7800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Sciarra & Catrambone,7700,0,7700,2022-04-18 00:00:00 +0000,18, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00158881,"",D000000249,New York Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00493304,"",D000000141,Prudential Financial,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000035286,Law Offices of Frederick H Graefe,6525,0,6525,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,6400,6400,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000032306,Capitol Counsel,6400,0,6400,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Caterers In the Park LLC,6400,0,6400,2022-04-18 00:00:00 +0000,24, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,6000,6000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00115527,"",D000024141,Insulators Union,6000,6000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00337626,"",D000000106,Morgan Stanley,6000,6000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,6000,5000,1000,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,360 Sylvan Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000070638,Cullen & Dykman,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000034001,Genova Burns LLC,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000071415,GFP Real Estate,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000034941,Joseph M Sanzari Inc,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Kaplen Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Le-Wash Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Roizman & Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Mayor Steve Fulop,5700,0,5700,2022-04-18 00:00:00 +0000,39, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5500,5500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000093959,Foundation Risk Partners,5400,0,5400,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Weiner Law Firm,5400,0,5400,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000076711,Weiner Law Group,5400,0,5400,2022-04-18 00:00:00 +0000,41, , ,0,          
C00064766,"",D000000081,United Parcel Service,5010,5000,10,2022-04-18 00:00:00 +0000,44, , ,0,          
C00410084,"",D000023934,American Clinical Laboratory Assn,5000,5000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00174227,"",D000000620,Baker & Hostetler,5000,5000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
