pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90009945,"",D000000763,Club for Growth,94367,1200,93167,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000061742,Huffines Communities,78400,0,78400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00448696,"",D000028985,Senate Conservatives Fund,69596,0,69596,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030211,Susquehanna International Group,41200,0,41200,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000036714,Pivotal Group,41198,0,41198,2022-04-18 00:00:00 +0000,5, , ,0,          
C00382796,"",D000035370,LHC Group,37650,0,37650,2022-04-18 00:00:00 +0000,6,x, ,0,D000035370
C00109017,"",D000000076,AT&T Inc,36708,35000,1708,2022-04-18 00:00:00 +0000,7,x, ,2,D000000076
         ,"",D000083875,Golden Age Farm,36000,0,36000,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000035667,Mason Capital Management,35500,0,35500,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000021946,Curves International,31200,0,31200,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000044060,Saulsbury Industries,30600,0,30600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000036995,Red Apple Group,28400,0,28400,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000033676,Forcht Group of Kentucky,27800,0,27800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00007880,"",D000000136,Credit Union National Assn              ,27750,25000,2750,2022-04-18 00:00:00 +0000,14,x, ,1,D000000136
         ,"",D000034643,Impala Asset Management,27600,0,27600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Phonoscope Communications,27300,0,27300,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000087859,Herring Networks,27200,0,27200,2022-04-18 00:00:00 +0000,17, , ,0,          
