pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000406,University of California                ,76532,0,76532,2022-04-18 00:00:00 +0000,1, , ,0,          
C00197749,"",D000000128,Walt Disney Co,40869,0,40869,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",34500,0,34500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00248716,"",D000000461,Comcast Corp,32331,12500,19831,2022-04-18 00:00:00 +0000,4, , ,0,          
C00227546,"",D000000115,Microsoft Corp,31786,5000,26786,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067823,Alphabet Inc,27967,10000,17967,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,27377,12500,14877,2022-04-18 00:00:00 +0000,7, , ,0,          
C00431072,"",D000024233,"Baker, Donelson et al                   ",27216,10000,17216,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031759,Bad Robot Productions,25800,0,25800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000063612,SV Angel LLC,25800,0,25800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000750,Stanford University,24908,0,24908,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Hamsterhead Inc,23200,0,23200,2022-04-18 00:00:00 +0000,12, , ,0,          
C00486928,"",D000046760,Alzheimer's Assn,20853,15000,5853,2022-04-18 00:00:00 +0000,13, , ,0,          
C00142711,"",D000000100,Boeing Co,20549,12500,8049,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000030693,University of Southern California,20278,0,20278,2022-04-18 00:00:00 +0000,15, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,20000,20000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,19786,10000,9786,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000067802,Subject Matter,18800,0,18800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034198,Greylock Partners,18700,0,18700,2022-04-18 00:00:00 +0000,19, , ,0,          
C00046474,"",D000000182,Ford Motor Co,17185,15000,2185,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000034986,Kaiser Permanente,16666,0,16666,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034729,Intersystems Corp,16576,0,16576,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000036528,Mass General Brigham,16420,0,16420,2022-04-18 00:00:00 +0000,23, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",16200,3000,13200,2022-04-18 00:00:00 +0000,24, , ,0,          
C00151340,"",D000021569,DLA Piper,16001,5000,11001,2022-04-18 00:00:00 +0000,25, , ,0,          
C00300178,"",D000019743,Wells Fargo,15845,5000,10845,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000034155,Granite Telecommunications,15838,0,15838,2022-04-18 00:00:00 +0000,27, , ,0,          
C00076810,"",D000000155,General Motors,15802,15000,802,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022011,GCM Grosvenor,15800,0,15800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000036707,Pisces Inc,15800,0,15800,2022-04-18 00:00:00 +0000,29, , ,0,          
