pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030671,University of Michigan                  ,628977,0,628977,2022-04-18 00:00:00 +0000,1,x, ,0,D000030671
         ,"",D000067823,Alphabet Inc,296444,29000,267444,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000406,University of California                ,182767,0,182767,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000035857,Michigan State University,170923,0,170923,2022-04-18 00:00:00 +0000,4, , ,0,          
C00350744,"",D000000085,Goldman Sachs,148158,32500,115658,2022-04-18 00:00:00 +0000,5,x, ,1,D000000085
         ,"",D000000109,Blue Cross/Blue Shield,146990,22000,124990,2022-04-18 00:00:00 +0000,6,x, ,0,D000000109
C00227546,"",D000000115,Microsoft Corp,141729,27000,114729,2022-04-18 00:00:00 +0000,7,x, ,1,D000000115
C00046474,"",D000000182,Ford Motor Co                           ,133723,32500,101223,2022-04-18 00:00:00 +0000,8,x, ,0,D000000182
C00076810,"",D000000155,General Motors,132081,35000,97081,2022-04-18 00:00:00 +0000,9,x, ,0,D000000155
C00552141,"",D000026462,Henry Ford Health System,123424,9000,114424,2022-04-18 00:00:00 +0000,10, , ,0,          
C00468314,"",D000025328,Democracy Engine,122792,0,122792,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000037804,State of Michigan                       ,115428,0,115428,2022-04-18 00:00:00 +0000,12, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,103450,20000,83450,2022-04-18 00:00:00 +0000,13, , ,0,          
C00078451,"",D000000165,General Dynamics,101322,36000,65322,2022-04-18 00:00:00 +0000,14,x, ,2,D000000165
         ,"",D000021873,Blackstone Group                        ,96065,0,96065,2022-04-18 00:00:00 +0000,15, , ,0,          
C00197749,"",D000000128,Walt Disney Co,94510,2000,92510,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000029772,Wayne State University,88299,0,88299,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000021754,Apple Inc,86819,0,86819,2022-04-18 00:00:00 +0000,18, , ,0,          
C00248716,"",D000000461,Comcast Corp,81216,35000,46216,2022-04-18 00:00:00 +0000,19,x, ,0,D000000461
