pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,102200,0,102200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00082792,"",D000000166,Eli Lilly & Co,25500,20000,5500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00016683,"",D000000138,Pfizer Inc,21600,10000,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00774497,"",          ,Americans for Action On Climate Fund,19900,10000,9900,2022-04-18 00:00:00 +0000,4, , ,0,          
C00251876,"",D000000391,Amgen Inc,18300,12500,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00097485,"",D000000275,Merck & Co,16400,12500,3900,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,16000,16000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00477653,"",D000000768,Cox Enterprises,16000,15000,1000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000063162,"Robbins, Geller et al                   ",13950,0,13950,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000048024,Brookfield Asset Management,13500,0,13500,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000046066,Tiber Creek Group,13050,0,13050,2022-04-18 00:00:00 +0000,12, , ,0,          
C00248716,"",D000000461,Comcast Corp,13000,10000,3000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00215285,"",D000000317,General Atomics                         ,11758,10000,1758,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,"Robbins, Geller, Rudman & Dowd",11700,0,11700,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",11600,0,11600,2022-04-18 00:00:00 +0000,16, , ,0,          
C00441733,"",          ,Takeda Pharmaceuticals USA,11000,10000,1000,2022-04-18 00:00:00 +0000,17, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10250,10000,250,2022-04-18 00:00:00 +0000,18, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00151787,"",          ,Cubic Corp,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00258236,"",          ,EMD Serono Inc,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00096156,"",D000000334,Honeywell International,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000043112,AstraZeneca PLC,8500,8500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00281212,"",D000000583,BAE Systems,8500,8500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00010983,"",D000000386,Johnson & Johnson,8500,8500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,8500,8500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00396895,"",D000026221,Gilead Sciences,8250,2500,5750,2022-04-18 00:00:00 +0000,31, , ,0,          
C00021972,"",D000000504,Pharmaceutical Research & Manufacturers Of America,8000,5000,3000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00300418,"",D000067120,SAIC,8000,8000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00034488,"",          ,Anheuser-Busch,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00227744,"",D000000098,Ernst & Young,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00199257,"",          ,Genentech Inc,7500,5000,2500,2022-04-18 00:00:00 +0000,34, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00064774,"",D000000321,NextEra Energy,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00088591,"",D000000170,Northrop Grumman,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,7000,7000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000406,University of California,6330,0,6330,2022-04-18 00:00:00 +0000,44, , ,0,          
C00410084,"",D000023934,American Clinical Laboratory Assn,6000,5000,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00420398,"",          ,Boehringer Ingelheim Corp,6000,5000,1000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00078451,"",D000000165,General Dynamics,6000,6000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00033969,"",          ,Novartis Corp,6000,6000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00144345,"",          ,Sanofi US,6000,6000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,6000,6000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Soroptimist International of La Jolla,6000,0,6000,2022-04-18 00:00:00 +0000,45, , ,0,          
C00542365,"",          ,Toyota Motor North America,6000,6000,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Aclu Sdic,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Apercen Partners,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000085934,Brandes Investment Partners,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000088549,Gg Greene Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Gurtin Fixed Income,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Ingram-Eve Inc,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Manpower San Diego,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Newmark Co,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Pacific Ecocompanies,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000023654,Sycuan Band of the Kumeyaay Nation,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00089136,"",D000000067,Altria Group,5500,5000,500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000066687,Forbes Tate Partners,5500,0,5500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5500,5500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
