pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,25609,0,25609,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034393,Heartland Realty Investors,25450,0,25450,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036742,Pohlad Companies,20550,0,20550,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000088259,Able Partners,17400,0,17400,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000037805,State of Minnesota,15955,0,15955,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Affinity Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Breazeale Group,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000088257,Cove Hill Partners,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00468314,"",D000025328,Democracy Engine,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00350744,"",D000000085,Goldman Sachs,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Higgins Estate Law,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Jacobs Mgmt,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Life Time Athletic,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000064987,Par Systems,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Quantum Capital Partners,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000090878,Roeco Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Silver Mountain Partners,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000045010,Minneapolis Radiation Oncology,11400,0,11400,2022-04-18 00:00:00 +0000,18, , ,0,          
C00101485,"",D000025625,Ecolab Inc,10450,0,10450,2022-04-18 00:00:00 +0000,19, , ,0,          
C00067884,"",D000000511,Cargill Inc,10135,0,10135,2022-04-18 00:00:00 +0000,20, , ,0,          
C00018945,"",D000021961,Dorsey & Whitney,10050,-250,10300,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Certegy Gaming Service,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Digi International,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,International School of Minnesota,9200,0,9200,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000022294,University of Minnesota,9061,0,9061,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Lieberman Co,7142,0,7142,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Landscape Structures,6760,0,6760,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000022400,Piper Sandler Companies,6300,0,6300,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000087564,Askov Finlayson,6200,0,6200,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000063860,University of St Thomas,6200,0,6200,2022-04-18 00:00:00 +0000,29, , ,0,          
C00275909,"",D000000553,Robins Kaplan LLP,6125,0,6125,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000031887,Bel Air Investment Advisors,6000,0,6000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000035000,"Kaplan, Strangis & Kaplan",5950,0,5950,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000021867,Baupost Group,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Berger Transfer,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Bludot,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,"Borton Volvo Inc/Borton Overseas, Ll",5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Bremer Financial Services,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Carlson Family Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000091747,Carval Investors,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Community Medical Center,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Dahaner,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000033244,Doran Companies,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Dotopia,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
