pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000090826,Tusk Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030293,Tawani Enterprises,7972,0,7972,2022-04-18 00:00:00 +0000,3, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000552,Paloma Partners,7050,0,7050,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000065720,McArthurglen Group,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000033537,Evercore,5400,0,5400,2022-04-18 00:00:00 +0000,7, , ,0,          
C00410126,"",D000024048,Americans for the Arts,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00340075,"",          ,BASF Corp,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00078451,"",D000000165,General Dynamics,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C70000492,"",D000000064,National Education Assn,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00163212,"",D000028189,Outdoor Amusement Business Assn,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00479899,"",D000031142,Woolpert Inc,5000,5000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00441949,"",          ,JStreetPAC,3500,3500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Passamaquoddy Tribe-Indian Township,2900,0,2900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,2900,0,2900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,2900,0,2900,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000067736,Snoqualmie Indian Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,21, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,2500,2500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00396671,"",D000022018,Hardwood Federation,2500,2500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00722652,"",D000092405,Mackinac Island Tourism Bureau,2500,2500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00420000,"",D000055714,National Assn of Landscape Professionals,2500,2500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,2500,2500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,History Press,2000,0,2000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000089163,Nessel Development,2000,0,2000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,2000,0,2000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000078372,Sobrato Organization,2000,0,2000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000090824,Washington Global Partners,2000,0,2000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,2000,0,2000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,New Media Firm,1600,0,1600,2022-04-18 00:00:00 +0000,38, , ,0,          
C00764357,"",          ,American Horse PAC,1500,1500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00410589,"",D000024686,Cerner Corp,1500,1500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00558452,"",D000062984,Professional Compounding Centers of America,1500,1500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000000544,Harvard University,1400,0,1400,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Migis Lodge,1250,0,1250,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Am Assoc of Colleges Osteopathic Med,1100,0,1100,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000036029,Icahn School of Medicine at Mount Sinai,1100,0,1100,2022-04-18 00:00:00 +0000,44, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00024521,"",D000000065,American Assn for Justice,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00408468,"",D000024019,American Soybean Assn,1000,1000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
