pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,156513,0,156513,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000406,University of California                ,82394,0,82394,2022-04-18 00:00:00 +0000,2, , ,0,          
C00468314,"",D000025328,Democracy Engine,33400,0,33400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000067823,Alphabet Inc,29291,0,29291,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031759,Bad Robot Productions,23200,0,23200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000022082,"Lieff, Cabraser et al",22425,0,22425,2022-04-18 00:00:00 +0000,6, , ,0,          
C00441949,"",          ,JStreetPAC,20000,0,20000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000812,State of California                     ,18688,0,18688,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000000615,"Wachtell, Lipton et al                  ",18210,0,18210,2022-04-18 00:00:00 +0000,9, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,14395,0,14395,2022-04-18 00:00:00 +0000,10, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,14304,0,14304,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,13810,0,13810,2022-04-18 00:00:00 +0000,12, , ,0,          
C00193433,"",D000000113,EMILY's List,13355,5000,8355,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000068512,Emerson Collective,12100,0,12100,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000032237,California State University             ,11934,0,11934,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000720,IBM Corp                                ,11751,0,11751,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Cook & Baker,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000049747,Cordoba Corp,11600,0,11600,2022-04-18 00:00:00 +0000,17, , ,0,          
