pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000121,American Financial Group,70500,0,70500,2022-04-18 00:00:00 +0000,1,x, ,1,D000000121
         ,"",D000000109,Blue Cross/Blue Shield,63510,63500,10,2022-04-18 00:00:00 +0000,2,x, ,3,D000000109
C00540518,"",D000021890,Capital Group Companies                 ,52700,31500,21200,2022-04-18 00:00:00 +0000,3,x, ,0,D000021890
C00376376,"",D000021773,Travelers Companies,39500,25000,14500,2022-04-18 00:00:00 +0000,4,x, ,0,D000021773
C00214338,"",D000000225,Bath & Body Works Inc,38300,10000,28300,2022-04-18 00:00:00 +0000,5, , ,0,          
C00024869,"",D000000125,General Electric,37517,26500,11017,2022-04-18 00:00:00 +0000,6,x, ,5,D000000125
C00165589,"",D000026556,Huntington Bancshares                   ,36500,36000,500,2022-04-18 00:00:00 +0000,7,x, ,0,D000026556
         ,"",D000000343,Northwestern Mutual,35500,20000,15500,2022-04-18 00:00:00 +0000,8, , ,0,          
C00384818,"",D000025214,CVS Health,35050,35000,50,2022-04-18 00:00:00 +0000,9,x, ,3,D000025214
C00333104,"",D000024013,American Soc/Pension Prof & Actuaries,35000,35000,0,2022-04-18 00:00:00 +0000,10,x, ,1,D000024013
         ,"",D000000245,MacAndrews & Forbes,34657,19557,15100,2022-04-18 00:00:00 +0000,11,x, ,0,D000000245
         ,"",D000034590,Hunt Development,34600,0,34600,2022-04-18 00:00:00 +0000,12,x, ,0,D000034590
C00211318,"",D000000131,Deloitte LLP,33510,30000,3510,2022-04-18 00:00:00 +0000,13,x,x,0,D000000131
         ,"",D000021872,BlackRock Inc,33375,10000,23375,2022-04-18 00:00:00 +0000,14, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",32800,11000,21800,2022-04-18 00:00:00 +0000,15, , ,0,          
C00406215,"",D000022143,Nationwide,31850,24000,7850,2022-04-18 00:00:00 +0000,16,x, ,0,D000022143
C00251876,"",D000000391,Amgen Inc,31000,30500,500,2022-04-18 00:00:00 +0000,17,x, ,1,D000000391
C00274431,"",D000000348,Unitedhealth Group,31000,30000,1000,2022-04-18 00:00:00 +0000,17,x, ,4,D000000348
C00104802,"",D000000350,Delta Air Lines,30570,30000,570,2022-04-18 00:00:00 +0000,19,x, ,3,D000000350
C00332833,"",D000021892,Cardinal Health,30425,30000,425,2022-04-18 00:00:00 +0000,20,x, ,2,D000021892
C00034157,"",D000000126,AFLAC Inc,30000,30000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000126
C00078451,"",D000000165,General Dynamics,30000,29500,500,2022-04-18 00:00:00 +0000,21,x, ,2,D000000165
         ,"",D000056160,River Trading,29400,0,29400,2022-04-18 00:00:00 +0000,23, , ,0,          
C00046474,"",D000000182,Ford Motor Co,29100,29000,100,2022-04-18 00:00:00 +0000,24,x, ,2,D000000182
C00108209,"",D000000335,Dominion Energy,29000,29000,0,2022-04-18 00:00:00 +0000,25,x, ,1,D000000335
C00141218,"",D000000368,Exelon Corp,28850,23000,5850,2022-04-18 00:00:00 +0000,26,x, ,0,D000000368
C00408260,"",D000026283,Grant Thornton LLP,27500,27500,0,2022-04-18 00:00:00 +0000,27,x,x,0,D000026283
C00097568,"",D000072615,Raytheon Technologies,27058,27000,58,2022-04-18 00:00:00 +0000,28,x, ,3,D000072615
C70002563,"",D000000062,National Assn of Realtors,27000,27000,0,2022-04-18 00:00:00 +0000,29,x, ,2,D000000062
         ,"",D000034938,Joseph Auto Group,26100,0,26100,2022-04-18 00:00:00 +0000,30, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,26000,26000,0,2022-04-18 00:00:00 +0000,31,x, ,1,D000000658
         ,"",D000060043,Altamont Capital,25600,0,25600,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000022164,NVR Inc                                 ,25600,0,25600,2022-04-18 00:00:00 +0000,32,x, ,0,D000022164
C00248716,"",D000000461,Comcast Corp,25100,25000,100,2022-04-18 00:00:00 +0000,34,x, ,4,D000000461
C00496307,"",D000023121,Marathon Petroleum,25010,25000,10,2022-04-18 00:00:00 +0000,35,x, ,0,D000023121
C00035451,"",D000000117,Air Line Pilots Assn,25000,25000,0,2022-04-18 00:00:00 +0000,36,x, ,0,D000000117
C00076810,"",D000000155,General Motors,25000,25000,0,2022-04-18 00:00:00 +0000,36,x, ,1,D000000155
C00034405,"",D000000171,International Paper,25000,25000,0,2022-04-18 00:00:00 +0000,36,x, ,2,D000000171
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,25000,25000,0,2022-04-18 00:00:00 +0000,36,x, ,4,D000000606
