pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00100321,"",D000071910,L3Harris Technologies,20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Pf Inc,20000,0,20000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00552851,"",D000068902,House Freedom Fund,16600,5000,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00411116,"",D000029147,SpaceX,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000044649,Amscot Financial,8700,0,8700,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000061257,Fidelity Bank,8600,0,8600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Remi Properties,7500,0,7500,2022-04-18 00:00:00 +0000,7, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,6000,6000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00303024,"",D000000104,Lockheed Martin,6000,6000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Dsu LLC,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000073717,Porter & Korvick,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Premier Estate Properties,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000063675,Tensor Engineering,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Weston Real Estate Investment,5800,0,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
