pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000147,Marine Engineers Beneficial Assn,6000,6000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,5900,3000,2900,2022-04-18 00:00:00 +0000,2, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00340075,"",          ,BASF Corp,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00104802,"",D000000350,Delta Air Lines,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00083535,"",D000000477,Duke Energy,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00286401,"",D000000145,Seafarers International Union,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,4500,4500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00441949,"",          ,JStreetPAC,4000,1500,2500,2022-04-18 00:00:00 +0000,14, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,3500,3500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011262,"",D000024486,Brotherhood of Railroad Signalmen,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00078451,"",D000000165,General Dynamics,3000,3000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00280909,"",          ,AFL-CIO Transportation Trades Dept,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00176727,"",D000023918,American Assn of Airport Executives,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000031893,Bell Legal Group,2500,0,2500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00163832,"",D000000148,CSX Corp,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00034132,"",D000000277,Fluor Corp,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00391979,"",          ,Herzog Contracting,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00007922,"",D000000074,Laborers Union,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
