pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021873,Blackstone Group,26100,0,26100,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000022011,GCM Grosvenor,24200,0,24200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,15250,10000,5250,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022321,"Willkie, Farr & Gallagher",13200,0,13200,2022-04-18 00:00:00 +0000,4, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,12500,12500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00034488,"",          ,Anheuser-Busch,12500,12500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,11000,11000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,9500,9500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,9000,9000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00760660,"",D000047470,Athletico,6500,2500,4000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00040253,"",D000000632,Allstate Insurance,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00109017,"",D000000076,AT&T Inc,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00303024,"",D000000104,Lockheed Martin,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Arete Wealth,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000021849,Ariel Investments,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,5500,5500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000037637,"Smith, Dawson & Andrews",5500,0,5500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
