pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00441949,"",          ,JStreetPAC,37000,1500,35500,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031512,American University,25836,0,25836,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000060770,Conceptual Analytics LLC,16600,0,16600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000034015,Georgetown University,16329,0,16329,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000032672,Clinical Care Options,15342,0,15342,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000047719,Bernstein & Lipsett,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000071794,Sessa Capital,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00699439,"",D000031213,Zillow Group,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000544,Harvard University                      ,10635,0,10635,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000035181,"Kramer, Levin et al",10550,0,10550,2022-04-18 00:00:00 +0000,10, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",9600,0,9600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,9359,0,9359,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000030667,University of Maryland                  ,8593,0,8593,2022-04-18 00:00:00 +0000,13, , ,0,          
C00211318,"",D000000131,Deloitte LLP,7900,5000,2900,2022-04-18 00:00:00 +0000,14, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00248716,"",D000000461,Comcast Corp,7370,1500,5870,2022-04-18 00:00:00 +0000,17, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,7000,7000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Tsg Global Holdings,6800,0,6800,2022-04-18 00:00:00 +0000,19, , ,0,          
C00351270,"",D000022249,Sidley Austin LLP,6400,0,6400,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000030848,Virginia Tech University,6050,0,6050,2022-04-18 00:00:00 +0000,21, , ,0,          
C00100404,"",D000070010,United Postmasters & Managers of America,6000,6000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000093798,"City of Takoma Park, MD",5860,0,5860,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,"American University, Washington College",5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000070423,Arista Networks,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Ashley Garrett Photography,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000021867,Baupost Group,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Eat the Change,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000066816,FI Investment Group,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Icg,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Maryland Treatment Centers,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Orioles,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000086847,Summit Global Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000073618,TargetSmart Communications,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,"Tory Cowles, Nick'S Organic Farm",5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Tsg,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Urban Alliance,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000055428,Physicians Cmte for Responsible Medicine,5700,0,5700,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Salop Economics,5625,0,5625,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000071415,GFP Real Estate,5600,0,5600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Gmp Llp,5600,0,5600,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000075420,GS Proctor & Assoc,5400,0,5400,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Kai,5400,0,5400,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Shah & Kishore Law Firm,5400,0,5400,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Landsman Law Group,5215,0,5215,2022-04-18 00:00:00 +0000,45, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5035,5000,35,2022-04-18 00:00:00 +0000,46, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00003632,"",D000000302,Bricklayers Union,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000024853,Civil Liberties List,5000,0,5000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,My3tech,5000,0,5000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00757419,"",D000092669,Save Democracy PAC,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00004861,"",D000022292,UNITE HERE,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00002840,"",D000000070,United Auto Workers,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000022300,US Government,4959,0,4959,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000021754,Apple Inc,4535,0,4535,2022-04-18 00:00:00 +0000,64, , ,0,          
C00164509,"",D000026663,Intl Fedn of Prof & Technical Engineers,4500,4500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,4500,4500,0,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000083645,Prince George's County Public Schools,4477,0,4477,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000034011,George Washington University            ,4350,0,4350,2022-04-18 00:00:00 +0000,68, , ,0,          
C00109017,"",D000000076,AT&T Inc,4147,4000,147,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000036093,NASA,4110,0,4110,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Sohei Productions LLC,4059,0,4059,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000030723,US Dept of Health & Human Services,4048,0,4048,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Maryland Lyric Opera,4000,0,4000,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000087865,Linea Solutions,3909,0,3909,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000089922,Abby Leigh Ltd,3900,0,3900,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Reisman Karron Greene Llp,3900,0,3900,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000022056,Katten Muchin Rosenman Llp,3850,0,3850,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000071043,Long & Foster,3692,0,3692,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000037803,State of Maryland                       ,3565,0,3565,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000035975,Montgomery County Public Schools,3551,0,3551,2022-04-18 00:00:00 +0000,80, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,3500,3500,0,2022-04-18 00:00:00 +0000,81, , ,0,          
C00010322,"",D000000143,American Postal Workers Union,3500,3500,0,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,Efo Capital Mgmt,3500,0,3500,2022-04-18 00:00:00 +0000,81, , ,0,          
C00344325,"",D000026657,International Alliance Theatrical Stage Employees,3500,3500,0,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",          ,NOT EMPLOYED,3392,0,3392,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000031148,World Bank,3341,0,3341,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Schrayer & Assoc,3150,0,3150,2022-04-18 00:00:00 +0000,87, , ,0,          
C00186288,"",D000000079,Verizon Communications,3109,3000,109,2022-04-18 00:00:00 +0000,88, , ,0,          
C00428623,"",          ,Google Inc,3075,1000,2075,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Murphy Anderson Pllc,3017,0,3017,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,American University Washington College,3000,0,3000,2022-04-18 00:00:00 +0000,91, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,3000,3000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00107128,"",D000000346,National Treasury Employees Union,3000,3000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
C00553834,"",          ,Otsuka America,3000,3000,0,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Red Hook Lobster,3000,0,3000,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Usi Law,3000,0,3000,2022-04-18 00:00:00 +0000,91, , ,0,          
C00281212,"",D000000583,BAE Systems,2985,2000,985,2022-04-18 00:00:00 +0000,98, , ,0,          
C00151340,"",D000021569,DLA Piper,2950,0,2950,2022-04-18 00:00:00 +0000,99, , ,0,          
         ,"",          ,Rock Creek Partners,2910,0,2910,2022-04-18 00:00:00 +0000,100, , ,0,          
