pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00078451,"",D000000165,General Dynamics,99675,33000,66675,2022-04-18 00:00:00 +0000,1,x, ,8,D000000165
C00303024,"",D000000104,Lockheed Martin,86800,34000,52800,2022-04-18 00:00:00 +0000,2,x, ,6,D000000104
C00100321,"",D000071910,L3Harris Technologies,71125,31500,39625,2022-04-18 00:00:00 +0000,3,x, ,0,D000071910
C00215285,"",D000000317,General Atomics                         ,65150,31500,33650,2022-04-18 00:00:00 +0000,4,x, ,0,D000000317
C00097568,"",D000072615,Raytheon Technologies,59960,50000,9960,2022-04-18 00:00:00 +0000,5,x, ,4,D000072615
C00009282,"",D000019639,Norfolk Southern,42500,42500,0,2022-04-18 00:00:00 +0000,6,x, ,1,D000019639
C00325092,"",D000064813,Huntington Ingalls Industries,42000,40000,2000,2022-04-18 00:00:00 +0000,7,x, ,1,D000064813
C70002563,"",D000000062,National Assn of Realtors,40000,40000,0,2022-04-18 00:00:00 +0000,8,x, ,3,D000000062
C00384818,"",D000025214,CVS Health,38500,35000,3500,2022-04-18 00:00:00 +0000,9,x, ,1,D000025214
C00367995,"",D000029049,Sierra Nevada Corp,37500,18500,19000,2022-04-18 00:00:00 +0000,10,x, ,0,D000029049
C00012245,"",          ,UBS Americas,37500,37500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00123612,"",D000000201,Textron Inc,36000,30000,6000,2022-04-18 00:00:00 +0000,12,x, ,2,D000000201
C00142711,"",D000000100,Boeing Co,35051,35000,51,2022-04-18 00:00:00 +0000,13,x, ,0,D000000100
C00096156,"",D000000334,Honeywell International,35000,35000,0,2022-04-18 00:00:00 +0000,14,x, ,0,D000000334
C00004812,"",D000000309,Mortgage Bankers Assn,35000,35000,0,2022-04-18 00:00:00 +0000,14,x, ,1,D000000309
C00130773,"",D000000755,National Multifamily Housing Council,35000,35000,0,2022-04-18 00:00:00 +0000,14,x, ,1,D000000755
C00088591,"",D000000170,Northrop Grumman,34750,32000,2750,2022-04-18 00:00:00 +0000,17,x, ,2,D000000170
C00300418,"",D000067120,SAIC,33025,32500,525,2022-04-18 00:00:00 +0000,18,x, ,0,D000067120
C00251876,"",D000000391,Amgen Inc,32800,30000,2800,2022-04-18 00:00:00 +0000,19,x, ,2,D000000391
C00281212,"",D000000583,BAE Systems,32501,32500,1,2022-04-18 00:00:00 +0000,20,x, ,1,D000000583
C00546234,"",D000000369,Leidos Inc,29000,27500,1500,2022-04-18 00:00:00 +0000,21,x, ,0,D000000369
         ,"",D000021757,Berkshire Hathaway,27506,27500,6,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000050183,Dimeo Construction,27050,0,27050,2022-04-18 00:00:00 +0000,23, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,27000,27000,0,2022-04-18 00:00:00 +0000,24,x, ,0,D000000285
C00029504,"",D000000139,Operating Engineers Union,25000,25000,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000000139
C00076810,"",D000000155,General Motors,24500,24500,0,2022-04-18 00:00:00 +0000,26,x, ,2,D000000155
C00197749,"",D000000128,Walt Disney Co                          ,23491,0,23491,2022-04-18 00:00:00 +0000,27, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,22500,22500,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000000069
C00731414,"",D000072270,Amentum Services,21500,21500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00275123,"",          ,Leonardo DRS,21500,21500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00024869,"",D000000125,General Electric,21300,16500,4800,2022-04-18 00:00:00 +0000,31,x, ,1,D000000125
C00266585,"",D000000344,Greenberg Traurig LLP,20900,5000,15900,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000057934,United Launch Alliance,20850,0,20850,2022-04-18 00:00:00 +0000,33,x, ,0,D000057934
C00034157,"",D000000126,AFLAC Inc,20600,15000,5600,2022-04-18 00:00:00 +0000,34,x, ,0,D000000126
         ,"",D000032305,Capitol City Group,20500,0,20500,2022-04-18 00:00:00 +0000,35, ,x,1,D000032305
         ,"",D000075364,Dahlberg Strategic,20500,0,20500,2022-04-18 00:00:00 +0000,35, ,x,1,D000075364
         ,"",D000086991,Punaro Group,20300,0,20300,2022-04-18 00:00:00 +0000,37, , ,0,          
C00007922,"",D000000074,Laborers Union,20100,20000,100,2022-04-18 00:00:00 +0000,38,x, ,0,D000000074
C00307249,"",D000021913,Citizens Financial Group                ,20063,11000,9063,2022-04-18 00:00:00 +0000,39, , ,0,          
C00360354,"",D000023883,Amazon.com,20000,20000,0,2022-04-18 00:00:00 +0000,40,x, ,1,D000023883
         ,"",D000079142,Century 21 Department Stores,20000,0,20000,2022-04-18 00:00:00 +0000,40, , ,0,          
C00163832,"",D000000148,CSX Corp,20000,20000,0,2022-04-18 00:00:00 +0000,40,x, ,0,D000000148
C00023580,"",D000000084,National Assn of Letter Carriers,20000,20000,0,2022-04-18 00:00:00 +0000,40,x, ,0,D000000084
