pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Med-Enroll,27900,0,27900,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000088992,Synergi Partners,17700,0,17700,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Brittain Resorts,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Cm Tucker Lumber Companies,17400,0,17400,2022-04-18 00:00:00 +0000,3, , ,0,          
C00083535,"",D000000477,Duke Energy,15250,15000,250,2022-04-18 00:00:00 +0000,5, , ,0,          
C00227744,"",D000000098,Ernst & Young,14900,7500,7400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Bistro Holdings,13500,0,13500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Adp,13300,0,13300,2022-04-18 00:00:00 +0000,8, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Cm Tucker Lumber Companies LLC,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Cpllc,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Hft Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034913,Johnson Development,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000068912,Ryan Specialty Group,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,"Thompson, Henry & Gwinn Law",11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,11000,10500,500,2022-04-18 00:00:00 +0000,17, , ,0,          
C00433060,"",D000029531,Republican Governance Group,11000,11000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000022119,Mlu Services,10800,0,10800,2022-04-18 00:00:00 +0000,19, , ,0,          
C00371229,"",D000029548,Unaka Corp,10600,10600,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Dunes Realty,10250,0,10250,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000090288,Connolly Coastal Capital,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00480228,"",D000045959,Continuing America's Strength & Security,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00522425,"",          ,Future First Leadership PAC,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00460618,"",D000055171,Padgett Business Services,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00377689,"",D000022207,Prosperity Action,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00406850,"",          ,Blue Cross/Blue Shield of South Carolina,8700,8700,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00211318,"",D000000131,Deloitte LLP,8500,7500,1000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00278895,"",D000022145,"Nelson, Mullins et al",8300,1000,7300,2022-04-18 00:00:00 +0000,30, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al                 ",8000,3000,5000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000000662,WPP Group,8000,2500,5500,2022-04-18 00:00:00 +0000,31, , ,0,          
C00166553,"",D000000370,Stephens Inc,7900,5000,2900,2022-04-18 00:00:00 +0000,33, , ,0,          
C00034157,"",D000000126,AFLAC Inc,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,7000,7000,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000032194,Burroughs & Chapin,6800,0,6800,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Sparks Toyota,6300,0,6300,2022-04-18 00:00:00 +0000,39, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,6000,6000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00005660,"",D000021827,American Assn/Oral & Maxillofacial Surg,6000,6000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00004275,"",D000000087,American Bankers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00142711,"",D000000100,Boeing Co,6000,6000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00101105,"",D000000160,National Federation of Independent Business,6000,4000,2000,2022-04-18 00:00:00 +0000,40, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,6000,5000,1000,2022-04-18 00:00:00 +0000,40, , ,0,          
C00457754,"",D000046048,US Travel Assn,6000,6000,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,A&I Inc,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Alabama Theater,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000088219,AO Hardee & Son,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Arnolds Pools,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000047864,Bluff Point Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Brandon Agency,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000032123,Bridgewater Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Capital Vacations,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000032623,Civic Service Inc,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
C00608943,"",          ,ClearPath Action,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000074016,Codina Partners,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000089515,Envirosep,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,First Presbyterian Church,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
C00773853,"",          ,Ginger PAC,5800,5800,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00350744,"",D000000085,Goldman Sachs,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Harbour Properties Realty,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000071792,Invus Group,5800,0,5800,2022-04-18 00:00:00 +0000,47, , ,0,          
