pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00104802,"",D000000350,Delta Air Lines,62430,37500,24930,2022-04-18 00:00:00 +0000,1,x, ,3,D000000350
C00215285,"",D000000317,General Atomics,52600,32000,20600,2022-04-18 00:00:00 +0000,2,x, ,0,D000000317
C00196725,"",D000067800,Hewlett Packard Enterprise,36500,35000,1500,2022-04-18 00:00:00 +0000,3,x, ,0,D000067800
C00303024,"",D000000104,Lockheed Martin,36059,36000,59,2022-04-18 00:00:00 +0000,4,x, ,0,D000000104
C00144774,"",D000000168,Southern Co                             ,35025,35000,25,2022-04-18 00:00:00 +0000,5,x, ,0,D000000168
C00236489,"",D000000186,Koch Industries,35000,35000,0,2022-04-18 00:00:00 +0000,6,x, ,0,D000000186
C00027466,"",D000036122,National Republican Senatorial Cmte,35000,35000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021757,Berkshire Hathaway,34000,34000,0,2022-04-18 00:00:00 +0000,8,x, ,2,D000021757
C00097568,"",D000072615,Raytheon Technologies,29000,29000,0,2022-04-18 00:00:00 +0000,9,x, ,0,D000072615
C00078451,"",D000000165,General Dynamics                        ,28025,28000,25,2022-04-18 00:00:00 +0000,10,x, ,0,D000000165
         ,"",D000033678,1st Financial Bank USA,26400,0,26400,2022-04-18 00:00:00 +0000,11,x, ,0,D000033678
         ,"",D000021845,Apollo Global Management,24425,0,24425,2022-04-18 00:00:00 +0000,12, , ,0,          
C00359588,"",D000021679,BGR Group,24150,0,24150,2022-04-18 00:00:00 +0000,13, ,x,0,D000021679
C00428623,"",          ,Google Inc,24000,24000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00284885,"",D000000419,Home Depot,22514,22500,14,2022-04-18 00:00:00 +0000,15,x, ,0,D000000419
C00248716,"",D000000461,Comcast Corp,22500,22500,0,2022-04-18 00:00:00 +0000,16,x, ,1,D000000461
C00443671,"",D000027589,Micron Technology,21550,20000,1550,2022-04-18 00:00:00 +0000,17,x, ,0,D000027589
C00664706,"",D000075544,Kayla's List,21300,21300,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00088591,"",D000000170,Northrop Grumman,21015,21000,15,2022-04-18 00:00:00 +0000,19,x, ,0,D000000170
C00211318,"",D000000131,Deloitte LLP,20025,20000,25,2022-04-18 00:00:00 +0000,20,x,x,1,D000000131
C00015933,"",D000000658,Pinnacle West Capital,19000,19000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000658
C00350744,"",D000000085,Goldman Sachs,17900,0,17900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00142711,"",D000000100,Boeing Co,17610,17500,110,2022-04-18 00:00:00 +0000,23,x, ,0,D000000100
C00096156,"",D000000334,Honeywell International,17600,17500,100,2022-04-18 00:00:00 +0000,24,x, ,0,D000000334
C00365122,"",D000029689,Visa Inc,17500,17500,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000029689
         ,"",D000061745,Hunt Companies,16800,0,16800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000061765,Idaho Forest Group,16800,0,16800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00035006,"",D000000015,Chevron Corp,16005,15500,505,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000032623,Civic Service Inc,15600,0,15600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000089155,Sinclair Companies,15600,0,15600,2022-04-18 00:00:00 +0000,29, , ,0,          
C00462630,"",D000021942,Covington & Burling,15500,15000,500,2022-04-18 00:00:00 +0000,31, ,x,0,D000021942
C00077321,"",D000000095,American Institute of CPAs,15000,15000,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000000095
C00144766,"",D000000101,National Beer Wholesalers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000000101
C00041608,"",D000070062,PotlatchDeltic Corp,15000,8000,7000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
