pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000031196,"Young, Conaway et al                    ",29600,0,29600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00695254,"",D000031782,Ballard Spahr LLP,23270,9750,13520,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,22800,17000,5800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Partner-Milbank Llp,22800,0,22800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000035710,McCarter & English,22100,0,22100,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031369,Akonadi Foundation,15800,0,15800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000071415,GFP Real Estate,15800,0,15800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000037792,State of Delaware,15723,0,15723,2022-04-18 00:00:00 +0000,8, , ,0,          
C00280222,"",D000019986,KPMG LLP,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00024968,"",D000000194,American Optometric Assn,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00158881,"",D000000249,New York Life Insurance,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000043112,AstraZeneca PLC,12375,11000,1375,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000061165,Epic Research,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000033773,Four M Investments,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Sun Pile Foundations,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,11000,11000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00186064,"",D000028398,PNC Financial Services,11000,11000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00040535,"",D000000217,American Express,10800,5000,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Tebec Assoc,10800,0,10800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000037102,"Richards, Layton & Finger",10625,0,10625,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Michigan Institute of Urology,10300,0,10300,2022-04-18 00:00:00 +0000,21, , ,0,          
C00326595,"",D000021891,Capital One Financial,10015,10000,15,2022-04-18 00:00:00 +0000,22, , ,0,          
C00493700,"",D000065597,Blue Hen PAC,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00312777,"",D000025169,Cozen O'Connor,10000,0,10000,2022-04-18 00:00:00 +0000,23, , ,0,          
C00438051,"",D000018253,Discover Financial Services,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00363648,"",D000021986,First State PAC,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00248716,"",D000000461,Comcast Corp,9005,7500,1505,2022-04-18 00:00:00 +0000,29, , ,0,          
C00400929,"",D000021841,AmerisourceBergen Corp,9000,8000,1000,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Challenge Program,8700,0,8700,2022-04-18 00:00:00 +0000,31, , ,0,          
C00764290,"",D000047842,Bloom Energy,8250,5000,3250,2022-04-18 00:00:00 +0000,32, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7550,7500,50,2022-04-18 00:00:00 +0000,33, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7550,7500,50,2022-04-18 00:00:00 +0000,33, , ,0,          
C00375360,"",D000021828,American College of Cardiology,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00106146,"",D000000116,American Hospital Assn,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00085316,"",D000000222,Cigna Corp,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00340075,"",          ,BASF Corp,7070,7000,70,2022-04-18 00:00:00 +0000,38, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00388827,"",D000066716,Rock Holdings,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000046066,Tiber Creek Group,7000,0,7000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,6750,0,6750,2022-04-18 00:00:00 +0000,43, , ,0,          
C00360354,"",D000023883,Amazon.com,6505,6000,505,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000021816,Alpine Group,6500,0,6500,2022-04-18 00:00:00 +0000,45, , ,0,          
C00096156,"",D000000334,Honeywell International,6500,6500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,6500,6500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000065292,Toronto-Dominion Bank,6400,0,6400,2022-04-18 00:00:00 +0000,48, , ,0,          
C00006080,"",D000000192,American Health Care Assn,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00325332,"",D000024003,American Seniors Housing Assn,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00247981,"",D000019355,Corteva Agriscience,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Perennial Properties,6000,0,6000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,12 W Partners LLC,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000031277,Accel Partners,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00689091,"",D000000810,Carlyle Group,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Halosil International,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000034557,Howard University,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Ischemix Pharmaceutical Co,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000072314,Jacobs & Crumplar,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000024221,"Lewis, Baach et al",5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Shell Mercer,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00232629,"",D000000243,"Skadden, Arps et al",5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000071636,Thegroup Dc,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Trellist Marketing Technology,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000063847,United Medical LLC,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,University of California/San Francisco,5800,0,5800,2022-04-18 00:00:00 +0000,53, , ,0,          
C00400333,"",D000026638,InterDigital Inc,5500,5000,500,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000037637,"Smith, Dawson & Andrews",5400,0,5400,2022-04-18 00:00:00 +0000,70, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5007,5000,7,2022-04-18 00:00:00 +0000,71, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00089086,"",D000000472,American Occupational Therapy Assn,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00204099,"",D000000408,Deere & Co,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00227744,"",D000000098,Ernst & Young,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00024869,"",D000000125,General Electric,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00088591,"",D000000170,Northrop Grumman,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00546119,"",          ,Select Medical Corp,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00431361,"",D000029443,TIAA,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00093054,"",D000000367,Walmart Inc,5000,5000,0,2022-04-18 00:00:00 +0000,72, , ,0,          
C00363945,"",          ,Syngenta Corp,4800,2000,2800,2022-04-18 00:00:00 +0000,92, , ,0,          
C00034157,"",D000000126,AFLAC Inc,4500,4500,0,2022-04-18 00:00:00 +0000,93, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al                                  ",4500,0,4500,2022-04-18 00:00:00 +0000,93, , ,0,          
C00373696,"",D000021837,American Psychiatric Assn,4500,4500,0,2022-04-18 00:00:00 +0000,93, , ,0,          
C00010983,"",D000000386,Johnson & Johnson,4500,4500,0,2022-04-18 00:00:00 +0000,93, , ,0,          
C00113241,"",D000027790,National Apartment Assn,4500,4500,0,2022-04-18 00:00:00 +0000,93, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,4500,4500,0,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Architectural Alliance,4400,0,4400,2022-04-18 00:00:00 +0000,99, , ,0,          
         ,"",D000022320,Wiley Rein LLP,4400,0,4400,2022-04-18 00:00:00 +0000,99, , ,0,          
