pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000092340,New York Cancer & Blood Specialists,48200,0,48200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00227546,"",D000000115,Microsoft Corp,44000,10000,34000,2022-04-18 00:00:00 +0000,2, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,33930,15000,18930,2022-04-18 00:00:00 +0000,3, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,33400,15000,18400,2022-04-18 00:00:00 +0000,4, , ,0,          
C00248716,"",D000000461,Comcast Corp,32500,15000,17500,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,31000,31000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00388827,"",D000066716,Rock Holdings,21700,13000,8700,2022-04-18 00:00:00 +0000,7, , ,0,          
C00608943,"",          ,ClearPath Action,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Goodman Real Estate,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000054554,Nelson Irrigation,21600,0,21600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021873,Blackstone Group,21300,0,21300,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021757,Berkshire Hathaway,20500,20000,500,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Acorn Advisors,20000,0,20000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00426775,"",D000000672,Charter Communications,20000,20000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,20000,20000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000089155,Sinclair Companies,20000,0,20000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al                                  ",19500,3250,16250,2022-04-18 00:00:00 +0000,17, , ,0,          
C00342766,"",D000026132,HollyFrontier Corp,16600,10800,5800,2022-04-18 00:00:00 +0000,18, , ,0,          
C00359588,"",D000021679,BGR Group,16543,0,16543,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000035177,Kdcr Partners,16500,0,16500,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000073417,Medquest Pharmacy,16400,0,16400,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000037777,Stanton Park Group,16200,0,16200,2022-04-18 00:00:00 +0000,22, , ,0,          
C00024968,"",D000000194,American Optometric Assn,16000,15000,1000,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000071336,doTERRA International,16000,0,16000,2022-04-18 00:00:00 +0000,23, , ,0,          
C00186288,"",D000000079,Verizon Communications,16000,15000,1000,2022-04-18 00:00:00 +0000,23, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,15250,15000,250,2022-04-18 00:00:00 +0000,26, , ,0,          
C00016683,"",D000000138,Pfizer Inc,15060,15000,60,2022-04-18 00:00:00 +0000,27, , ,0,          
C00351197,"",D000021834,American Society of Interventional Pain Physicians,15000,15000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00109017,"",D000000076,AT&T Inc,15000,15000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00693002,"",D000071760,Fox Corp,15000,15000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00075341,"",D000000355,Motorola Solutions,15000,15000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
