pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00142711,"",D000000100,Boeing Co,14000,14000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000063821,Ultra Electronics,12000,10000,2000,2022-04-18 00:00:00 +0000,2, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,11000,11000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00215285,"",D000000317,General Atomics,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00078451,"",D000000165,General Dynamics,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Harbor Cottage Houseboats,10000,0,10000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00303024,"",D000000104,Lockheed Martin,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00360008,"",D000022142,National Thoroughbred Racing Assn,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00064766,"",D000000081,United Parcel Service,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000066809,Republic Consulting,8750,0,8750,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Tasty Brands,8700,0,8700,2022-04-18 00:00:00 +0000,11, , ,0,          
C00027532,"",          ,American Maritime Officers,7500,7500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00088591,"",D000000170,Northrop Grumman,7500,7500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,7250,0,7250,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000091439,ACP Technologies (Michigan),7000,0,7000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Amsc,6900,0,6900,2022-04-18 00:00:00 +0000,16, , ,0,          
C00414896,"",D000028180,Osi Systems,6500,6500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00763623,"",D000073362,Anduril Industries,6300,0,6300,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000033676,Forcht Group of Kentucky,6150,0,6150,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Acp Technologies LLC,6000,0,6000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Advanced Carbon Products,6000,0,6000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036437,Outdoor Venture Corp,6000,0,6000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000062351,McCarthy Strategic Solutions,5900,0,5900,2022-04-18 00:00:00 +0000,23, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00608943,"",          ,ClearPath Action,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Lees Ford,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Marina At Rowena LLC,5500,0,5500,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Appalacian Recovery Center,5200,0,5200,2022-04-18 00:00:00 +0000,28, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,"Barsz, Gowie, Amon & Fultz",5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000087596,Begley Lumber,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000086698,Calvert Real Properties,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00151787,"",          ,Cubic Corp,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Hurricane Hills Stable & Farms,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00546234,"",D000000369,Leidos Inc,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Martin'S Peterbuilt,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00541334,"",          ,MeshPAC,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Mitchell Tax & Accounting,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00163048,"",D000000783,National Community Action Foundation,5000,5000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000055897,Rajant Corp,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Stephens Hardwood,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000063963,Wanner Assoc,5000,0,5000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00366468,"",D000021940,CoreCivic Inc,4500,4500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,4400,0,4400,2022-04-18 00:00:00 +0000,44, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",4000,0,4000,2022-04-18 00:00:00 +0000,45, , ,0,          
