pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,Emily's List,604219,10000,594219,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000067823,Alphabet Inc,174501,10000,164501,2022-04-18 00:00:00 +0000,2, , ,0,          
C00468314,"",D000025328,Democracy Engine,173339,0,173339,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000406,University of California                ,150653,0,150653,2022-04-18 00:00:00 +0000,4, , ,0,          
C90005786,"",D000000288,League of Conservation Voters           ,136906,13396,123510,2022-04-18 00:00:00 +0000,5, , ,0,          
C00441949,"",          ,JStreetPAC,94775,0,94775,2022-04-18 00:00:00 +0000,6, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,73049,15000,58049,2022-04-18 00:00:00 +0000,7,x, ,2,D000000115
         ,"",D000000109,Blue Cross/Blue Shield,72152,29750,42402,2022-04-18 00:00:00 +0000,8,x, ,2,D000000109
C00450098,"",D000029916,Womencount PAC,71971,45,71926,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000030676,University of Nevada                    ,70597,0,70597,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000000544,Harvard University                      ,70494,0,70494,2022-04-18 00:00:00 +0000,11, , ,0,          
C00096156,"",D000000334,Honeywell International,68883,16883,52000,2022-04-18 00:00:00 +0000,12,x, ,0,D000000334
         ,"",D000000750,Stanford University                     ,66696,0,66696,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000517,DE Shaw & Co,64003,0,64003,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Warner Brothers Discovery,61941,0,61941,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000042425,Siemens AG,52094,6000,46094,2022-04-18 00:00:00 +0000,16, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",51148,7000,44148,2022-04-18 00:00:00 +0000,17,x,x,1,D000000724
C00042366,"",D000021958,Democratic Senatorial Campaign Cmte,47415,47400,15,2022-04-18 00:00:00 +0000,18, , ,0,          
C00502906,"",D000033563,Meta,45607,8500,37107,2022-04-18 00:00:00 +0000,19, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",43506,0,43506,2022-04-18 00:00:00 +0000,20, ,x,0,D000021746
C00350744,"",D000000085,Goldman Sachs,42156,10000,32156,2022-04-18 00:00:00 +0000,21,x, ,2,D000000085
         ,"",D000088840,Harvey & Leslie Wagner Foundation,42000,0,42000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000021754,Apple Inc,41943,0,41943,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000021757,Berkshire Hathaway,41250,33500,7750,2022-04-18 00:00:00 +0000,24,x, ,3,D000021757
         ,"",D000031598,Arcata Assoc,41100,0,41100,2022-04-18 00:00:00 +0000,25,x, ,0,D000031598
C00360354,"",D000023883,Amazon.com                              ,39401,5000,34401,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000030471,Top Rank Inc,38705,0,38705,2022-04-18 00:00:00 +0000,27, , ,0,          
C00615203,"",D000070694,Senior Care Pharmacy Coalition,38500,20000,18500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00299321,"",D000000193,MGM Resorts International,38448,20000,18448,2022-04-18 00:00:00 +0000,29,x, ,0,D000000193
         ,"",D000022121,Motley Rice LLC,38300,0,38300,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000022106,McKinsey & Co,37843,0,37843,2022-04-18 00:00:00 +0000,31,x, ,0,D000022106
         ,"",D000000769,"Paul, Weiss et al",37704,0,37704,2022-04-18 00:00:00 +0000,32, , ,0,          
C90016072,"",D000071020,Bend The Arc Jewish Action,36225,9999,26226,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000022251,Silver Lake Partners,36040,7065,28975,2022-04-18 00:00:00 +0000,34,x, ,0,D000022251
         ,"",D000072013,Cloobeck Companies,35800,0,35800,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000021767,National Amusements Inc,35453,0,35453,2022-04-18 00:00:00 +0000,36,x, ,0,D000021767
C00248716,"",D000000461,Comcast Corp,33620,15000,18620,2022-04-18 00:00:00 +0000,37,x, ,0,D000000461
