pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,24600,7000,17600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Billion Auto Group,22400,0,22400,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000073743,Marcus Foundation,22200,0,22200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000080108,Town Pump Inc,15000,0,15000,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000091413,Rytec Corp,13700,0,13700,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Investments Ltd,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032623,Civic Service Inc,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000049884,Crownquest Operating,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000078725,Langlas & Assoc,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000030517,Tremont Partners,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Wild West Co,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000035862,Midland Energy,10799,0,10799,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000091862,Coordinates Operations LLC,8700,0,8700,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000071510,Nexgen Resources,6800,0,6800,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034569,Hubbard Broadcasting,6600,0,6600,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000083448,Charles & Potomac Capital,6453,0,6453,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000089753,21st Mortgage Corp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000031247,A Wilsey Properties,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000084418,A10 Capital,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021754,Apple Inc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000065593,"Barrow, Hanley et al",5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Burpee,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032371,Carruth Capital,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Central Ford,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060725,"Cohen, Klingenstein & Marks",5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00354753,"",D000025483,Devon Energy,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000033385,Edward C Levy Co,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Flat Willow Farm,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000069491,Great Point Partners,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000061765,Idaho Forest Group,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000051371,Inmarsat PLC,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Lee Timber,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Makar Management,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Net2vault,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Precision Refractory Services,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000063099,Research Affiliates LLC,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Sandrock Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Shinbone Ranch Co,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Sun Mountain Lumber,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Teton Capital,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000068599,W Atlee Burpee & Co,5800,0,5800,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000090530,Chair King Inc,5600,0,5600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000071351,Kent Companies,5600,0,5600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000037717,Spencer Enterprises,5600,0,5600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000092433,Dick Anderson Construction,5100,0,5100,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Adairs Jewelry Store,5000,0,5000,2022-04-18 00:00:00 +0000,66, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000082360,Billings Flying Service,5000,0,5000,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Cattle Rancher & Real Estate,5000,0,5000,2022-04-18 00:00:00 +0000,66, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,66, , ,0,          
C00739003,"",          ,Montana Red,5000,5000,0,2022-04-18 00:00:00 +0000,66, , ,0,          
