pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90009945,"",D000000763,Club for Growth,80000,4300,75700,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Frontier Truck Gear,17400,0,17400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00552851,"",D000068902,House Freedom Fund,16600,5000,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00435321,"",D000028058,Nustar Energy,11800,5000,6800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000090940,Anthem Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Parsley Energy,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Sola Vaca Ranch,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000072036,Pjs of Texas,11500,0,11500,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000030114,Stewart Builders,11400,0,11400,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000069492,Goldcrest Capital,9297,0,9297,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Writer (For Tara),9297,0,9297,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Hpec Oil & Gas LLC,8700,0,8700,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000044060,Saulsbury Industries,8700,0,8700,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,18, , ,0,          
C00236489,"",D000000186,Koch Industries,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00109546,"",D000022303,Valero Energy,7500,7500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00204453,"",D000000550,King & Spalding,7050,0,7050,2022-04-18 00:00:00 +0000,21, , ,0,          
C00647206,"",          ,One Generation PAC,7000,7000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
