pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00103549,"",D000022175,Parsons Corp,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,5000,5000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00358812,"",D000023936,American College of Nurse-Midwives,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000033010,D&P Creative Strategies,5000,0,5000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00369751,"",D000000585,Dell Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00219568,"",          ,Operating Engineers Local 12,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00109017,"",D000000076,AT&T Inc,3500,3500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00008268,"",D000000178,Transport Workers Union,3500,3500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00303024,"",D000000104,Lockheed Martin,3000,3000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032041,Bollinger Shipyards,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000091071,Del Records,2900,0,2900,2022-04-18 00:00:00 +0000,18, , ,0,          
C00000729,"",D000000105,American Dental Assn,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00763623,"",D000073362,Anduril Industries,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00142711,"",D000000100,Boeing Co,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000052549,Jerry B Epstein Management,2500,0,2500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000084156,Orbital Insight,2500,0,2500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00300418,"",D000067120,SAIC,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00633107,"",D000056576,Security Industry Assn,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00632760,"",D000082541,White Coat Waste Project,2500,2500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00374447,"",          ,AECOM US,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00024521,"",D000000065,American Assn for Justice,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00176727,"",D000023918,American Assn of Airport Executives,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00248716,"",D000000461,Comcast Corp,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00078451,"",D000000165,General Dynamics,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,History Press,2000,0,2000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C70000492,"",D000000064,National Education Assn,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000089163,Nessel Development,2000,0,2000,2022-04-18 00:00:00 +0000,30, , ,0,          
C00777706,"",          ,Smiths Group Services Corp,2000,2000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000078372,Sobrato Organization,2000,0,2000,2022-04-18 00:00:00 +0000,30, , ,0,          
