pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,176625,0,176625,2022-04-18 00:00:00 +0000,1, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,124050,5000,119050,2022-04-18 00:00:00 +0000,2, , ,0,          
C00382150,"",D000022003,GEO Group,75625,7500,68125,2022-04-18 00:00:00 +0000,3,x, ,7,D000022003
C00097568,"",D000072615,Raytheon Technologies,49294,44000,5294,2022-04-18 00:00:00 +0000,4,x, ,8,D000072615
         ,"",          ,Florida Crystals,48966,0,48966,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000027198,Leon Medical Centers,46600,0,46600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",46395,9000,37395,2022-04-18 00:00:00 +0000,7, ,x,1,D000000162
C00027466,"",D000036122,National Republican Senatorial Cmte,46200,46200,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00186064,"",D000028398,PNC Financial Services,45552,45000,552,2022-04-18 00:00:00 +0000,9,x, ,0,D000028398
         ,"",D000030810,Veritas Capital                         ,44558,43500,1058,2022-04-18 00:00:00 +0000,10, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,43527,41000,2527,2022-04-18 00:00:00 +0000,11,x, ,1,D000071910
         ,"",D000044041,Patrick P Lee Foundation,40800,0,40800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00186288,"",D000000079,Verizon Communications,40588,33000,7588,2022-04-18 00:00:00 +0000,13,x, ,11,D000000079
         ,"",D000089543,Univista Insurance,40000,0,40000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00064774,"",D000000321,NextEra Energy,38121,35000,3121,2022-04-18 00:00:00 +0000,15,x, ,8,D000000321
         ,"",D000054524,Navigators Global,37950,0,37950,2022-04-18 00:00:00 +0000,16, ,x,7,D000054524
C00400929,"",D000021841,AmerisourceBergen Corp,37575,32500,5075,2022-04-18 00:00:00 +0000,17,x, ,3,D000021841
C00359588,"",D000021679,BGR Group,37500,500,37000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00096156,"",D000000334,Honeywell International,37416,30500,6916,2022-04-18 00:00:00 +0000,19,x, ,2,D000000334
