pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00380303,"",D000025674,Emergent Biosolutions,15800,10000,5800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00078451,"",D000000165,General Dynamics,13000,12000,1000,2022-04-18 00:00:00 +0000,2, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,13000,13000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00088591,"",D000000170,Northrop Grumman,12520,12500,20,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000032284,Capital Funding Group,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,11000,11000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000037752,St John Properties,10800,0,10800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00303024,"",D000000104,Lockheed Martin,10500,10500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00546234,"",D000000369,Leidos Inc,10005,9000,1005,2022-04-18 00:00:00 +0000,9, , ,0,          
C00731414,"",D000072270,Amentum Services,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00142711,"",D000000100,Boeing Co,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00211318,"",D000000131,Deloitte LLP,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00103549,"",D000022175,Parsons Corp,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00777706,"",          ,Smiths Group Services Corp,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00123612,"",D000000201,Textron Inc,10000,10000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00275123,"",          ,Leonardo DRS,8500,8500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00109017,"",D000000076,AT&T Inc,8100,7000,1100,2022-04-18 00:00:00 +0000,18, , ,0,          
C00564377,"",          ,Chugach Alaska,8000,8000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036775,Potomac Advocates,7300,0,7300,2022-04-18 00:00:00 +0000,22, , ,0,          
C00367995,"",D000029049,Sierra Nevada Corp,6400,2500,3900,2022-04-18 00:00:00 +0000,23, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,5500,5500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000071005,Ja Green & Co,5500,0,5500,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000035701,McAllister & Quinn,5500,0,5500,2022-04-18 00:00:00 +0000,25, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00281212,"",D000000583,BAE Systems,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00039461,"",D000024239,Ball Corp,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00248716,"",D000000461,Comcast Corp,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00141218,"",D000000368,Exelon Corp,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00073056,"",D000000506,"Masters, Mates & Pilots Union",5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00370585,"",D000053289,Maxar Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00411116,"",D000029147,SpaceX,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00003590,"",D000000102,United Steelworkers,5000,5000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00696799,"",D000082015,Orbis Technologies,4750,3500,1250,2022-04-18 00:00:00 +0000,40, , ,0,          
