pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00145037,"",          ,Southern Co Gas,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00343459,"",D000021829,American College of Radiology,7500,7500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,7500,7500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00109017,"",D000000076,AT&T Inc,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00108209,"",D000000335,Dominion Energy,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00141218,"",D000000368,Exelon Corp,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00199711,"",          ,Health Care Service Corp,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00458158,"",D000045995,LKQ Corp,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00408435,"",D000029103,Society of Interventional Radiology,5000,2500,2500,2022-04-18 00:00:00 +0000,5, , ,0,          
C00024869,"",D000000125,General Electric,4250,3000,1250,2022-04-18 00:00:00 +0000,15, , ,0,          
C00760660,"",D000047470,Athletico,4050,2000,2050,2022-04-18 00:00:00 +0000,16, , ,0,          
C00024521,"",D000000065,American Assn for Justice,4000,4000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Revenue Cycle Coding,3500,0,3500,2022-04-18 00:00:00 +0000,18, , ,0,          
