pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,211172,0,211172,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000090111,Remington Road Group,41390,0,41390,2022-04-18 00:00:00 +0000,2, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",40950,0,40950,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000078728,Rms Investment Group,34800,0,34800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Debartolo Corp,33200,0,33200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,National Center for Defense Manufactur,29000,0,29000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Watermark Estate Management Services,27950,0,27950,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036364,Ohio State University,26308,0,26308,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Catawba Valley LLC,26200,0,26200,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031918,Berger Singerman PA,25891,0,25891,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000032666,Cleveland Clinic,24752,0,24752,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021859,Bain Capital,24500,0,24500,2022-04-18 00:00:00 +0000,12, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",24400,0,24400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037598,Simon Property Group,23251,0,23251,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031533,Analysis Group,23200,0,23200,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Safety Controls Technology,23200,0,23200,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000067823,Alphabet Inc,23152,1000,22152,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Student Resource Center,23000,0,23000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000022322,WilmerHale LLP                          ,21103,0,21103,2022-04-18 00:00:00 +0000,20, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,20876,20000,876,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Abraham Enterprises,20300,0,20300,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000031431,Alphamicron Inc,20300,0,20300,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",20300,0,20300,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000031973,Phantom Fireworks,20300,0,20300,2022-04-18 00:00:00 +0000,22, , ,0,          
C00007922,"",D000000074,Laborers Union,20005,20000,5,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000087020,Bangtail Partners,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000043616,Bluestem Asset Management,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Concentric,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,EDM Management,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000052426,Ischemix,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Tut Enterprises,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Walnut Ridge,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000091043,Walnut Ridge Strategic Management,17400,0,17400,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000030381,Thomarios Painting,16813,0,16813,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000031927,Berkshire Partners,16600,0,16600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000072304,BH Management,16600,0,16600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000034198,Greylock Partners,16600,0,16600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Lakewood Organic,16600,0,16600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000070706,San Francisco 49ers,16600,0,16600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Thomarios,16600,0,16600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000000412,US House of Representatives,16534,0,16534,2022-04-18 00:00:00 +0000,42, , ,0,          
