pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000035694,Mbf Clearing Corp,20800,0,20800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000035966,Monroe Capital,20800,0,20800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Oko Group,20000,0,20000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Mt Pool Distributor,19400,0,19400,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000033447,Energy Capital Partners                 ,18615,0,18615,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000021967,Duty Free Americas,17400,0,17400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Ideal Dental,17400,0,17400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Maxim Group,17400,0,17400,2022-04-18 00:00:00 +0000,6, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Robert Allen Law,13600,0,13600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,AQR Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Ecombustible Energy LLC,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000071509,EJF Capital,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000087592,Farvahar Partners,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000091217,Ferragon Corp,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000022013,Gruss & Co,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000083796,National Debt Relief,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000054675,NewsMax Media,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Pacific Cable Television,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000022217,Related Companies,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Schmieding Produce,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00166553,"",D000000370,Stephens Inc,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Tate Development,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000087508,Pharmapotheca,11200,0,11200,2022-04-18 00:00:00 +0000,27, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",10750,1500,9250,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Callisto Partners LLC,10600,0,10600,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000000772,Station Casinos,10245,0,10245,2022-04-18 00:00:00 +0000,30, , ,0,          
C00284885,"",D000000419,Home Depot,10047,10000,47,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Cameo,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,European Designs Inc,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00760124,"",D000073672,National Victory Action Fund,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Negocio E2,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Salazar for Congress,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Southeast Insurance,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00765982,"",          ,Stand for America PAC,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Productions,9800,0,9800,2022-04-18 00:00:00 +0000,43, , ,0,          
C00248716,"",D000000461,Comcast Corp,9620,9500,120,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,45, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,9101,2500,6601,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Cap Government,8900,0,8900,2022-04-18 00:00:00 +0000,47, , ,0,          
C00544908,"",          ,Florida East Coast Industries,8900,2500,6400,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000032948,Crestview Partners,8700,0,8700,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000036995,Red Apple Group,8700,0,8700,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Negocio E2 LLC,8600,0,8600,2022-04-18 00:00:00 +0000,51, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,8500,8500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000022250,Silver Eagle Distributors,8387,0,8387,2022-04-18 00:00:00 +0000,53, , ,0,          
C00760397,"",          ,No Nonsense PAC,8300,8300,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,8000,8000,0,2022-04-18 00:00:00 +0000,55, , ,0,          
C00364778,"",D000000090,Bank of America,7864,0,7864,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Charles Schwab & Co,7633,0,7633,2022-04-18 00:00:00 +0000,57, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000021972,Elliott Management,7458,0,7458,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000044899,Hillwood Development,7403,0,7403,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000067088,Dimare Companies,7300,0,7300,2022-04-18 00:00:00 +0000,61, , ,0,          
C00573626,"",          ,Lee PAC,6000,6000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000036627,Perry Ellis International,5900,0,5900,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5801,0,5801,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000047624,Barreto Group,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Best Labor Contractor,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Bet Investments,5800,0,5800,2022-04-18 00:00:00 +0000,65, , ,0,          
