pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00039578,"",D000000433,Council of Insurance Agents & Brokers,20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,17500,17500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00418095,"",D000025897,"Fragomen, Del Rey et al",15050,0,15050,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000088118,Bluewater Partners,15000,0,15000,2022-04-18 00:00:00 +0000,5, , ,0,          
C00280222,"",D000019986,KPMG LLP,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,13500,13500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Mza Events,12253,0,12253,2022-04-18 00:00:00 +0000,11, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,11000,11000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00068692,"",D000000089,FedEx Corp,11000,11000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000088412,Fulcrum Public Affairs,10500,0,10500,2022-04-18 00:00:00 +0000,14, , ,0,          
C00248716,"",D000000461,Comcast Corp,10250,10000,250,2022-04-18 00:00:00 +0000,15, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00158881,"",D000000249,New York Life Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,10000,10000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,9500,9500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00105981,"",D000000262,Investment Co Institute,9500,9500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,8500,8500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Golden Gate Urology,8000,0,8000,2022-04-18 00:00:00 +0000,23, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00008839,"",D000021836,American Podiatric Medical Assn,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00325332,"",D000024003,American Seniors Housing Assn,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00109017,"",D000000076,AT&T Inc,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00064766,"",D000000081,United Parcel Service,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000034396,Invariant LLC,7300,0,7300,2022-04-18 00:00:00 +0000,32, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
