pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000406,University of California                ,99745,0,99745,2022-04-18 00:00:00 +0000,1,x, ,0,D000000406
         ,"",          ,NOT EMPLOYED,85667,0,85667,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000067823,Alphabet Inc,43258,0,43258,2022-04-18 00:00:00 +0000,3,x, ,0,D000067823
C00360354,"",D000023883,Amazon.com                              ,42400,0,42400,2022-04-18 00:00:00 +0000,4,x, ,0,D000023883
         ,"",D000021915,"City of New York, NY",37137,0,37137,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000034986,Kaiser Permanente                       ,31961,0,31961,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021754,Apple Inc,29780,0,29780,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000030737,US Postal Service,29550,0,29550,2022-04-18 00:00:00 +0000,8, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,28505,0,28505,2022-04-18 00:00:00 +0000,9,x, ,0,D000000115
         ,"",D000000812,State of California,27894,0,27894,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000030671,University of Michigan                  ,25477,0,25477,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000032620,City University of New York             ,23860,0,23860,2022-04-18 00:00:00 +0000,12,x, ,0,D000032620
C00010322,"",D000000143,American Postal Workers Union,20333,10000,10333,2022-04-18 00:00:00 +0000,13,x, ,0,D000000143
         ,"",D000022297,University of Washington,20138,0,20138,2022-04-18 00:00:00 +0000,14, , ,0,          
C00109017,"",D000000076,AT&T Inc,19516,0,19516,2022-04-18 00:00:00 +0000,15,x, ,0,D000000076
         ,"",D000035456,Los Angeles Unified School District,19376,0,19376,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000030667,University of Maryland                  ,19300,0,19300,2022-04-18 00:00:00 +0000,17,x, ,0,D000030667
         ,"",D000000750,Stanford University                     ,17513,0,17513,2022-04-18 00:00:00 +0000,18, , ,0,          
C00142711,"",D000000100,Boeing Co                               ,17445,0,17445,2022-04-18 00:00:00 +0000,19,x, ,0,D000000100
         ,"",D000021927,Columbia University,16947,0,16947,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000030661,University of Illinois                  ,16796,0,16796,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032237,California State University             ,16231,0,16231,2022-04-18 00:00:00 +0000,22,x, ,0,D000032237
         ,"",D000000544,Harvard University                      ,16089,0,16089,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000022299,US Dept of Defense,15665,0,15665,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000030730,US Dept of Veterans Affairs,15564,0,15564,2022-04-18 00:00:00 +0000,25, , ,0,          
C00064766,"",D000000081,United Parcel Service                   ,15435,0,15435,2022-04-18 00:00:00 +0000,26,x, ,0,D000000081
         ,"",D000022300,US Government,15128,0,15128,2022-04-18 00:00:00 +0000,27, , ,0,          
C70003124,"",D000000077,Service Employees International Union,15073,5000,10073,2022-04-18 00:00:00 +0000,28, , ,0,          
