pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00540518,"",D000021890,Capital Group Companies,100200,35000,65200,2022-04-18 00:00:00 +0000,1,x, ,0,D000021890
         ,"",D000088427,Mountain Group Partners,89400,0,89400,2022-04-18 00:00:00 +0000,2, , ,0,          
C90009945,"",D000000763,Club for Growth,49801,0,49801,2022-04-18 00:00:00 +0000,3, , ,0,          
C00412395,"",D000021952,DCI Group,43400,5000,38400,2022-04-18 00:00:00 +0000,4, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,40855,35000,5855,2022-04-18 00:00:00 +0000,5,x, ,0,D000000118
C00227546,"",D000000115,Microsoft Corp,36420,27000,9420,2022-04-18 00:00:00 +0000,6,x, ,2,D000000115
C00186064,"",D000028398,PNC Financial Services,36000,36000,0,2022-04-18 00:00:00 +0000,7,x, ,0,D000028398
C00493304,"",D000000141,Prudential Financial,34500,20500,14000,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000047864,Bluff Point Assoc,31600,0,31600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00166553,"",D000000370,Stephens Inc,31600,0,31600,2022-04-18 00:00:00 +0000,9,x, ,0,D000000370
C00009985,"",D000000202,National Assn of Broadcasters,31500,28500,3000,2022-04-18 00:00:00 +0000,11,x, ,0,D000000202
C00428623,"",          ,Google Inc,31475,15000,16475,2022-04-18 00:00:00 +0000,12, , ,0,          
C00109017,"",D000000076,AT&T Inc,31002,31000,2,2022-04-18 00:00:00 +0000,13,x, ,1,D000000076
C00096156,"",D000000334,Honeywell International,30105,30000,105,2022-04-18 00:00:00 +0000,14,x, ,0,D000000334
C00009282,"",D000019639,Norfolk Southern,30050,30000,50,2022-04-18 00:00:00 +0000,15,x, ,0,D000019639
C00236489,"",D000000186,Koch Industries,30025,30000,25,2022-04-18 00:00:00 +0000,16,x, ,0,D000000186
C00004812,"",D000000309,Mortgage Bankers Assn,30000,30000,0,2022-04-18 00:00:00 +0000,17,x, ,0,D000000309
C00247403,"",D000022158,NorPAC,29300,0,29300,2022-04-18 00:00:00 +0000,18, , ,0,          
C00248716,"",D000000461,Comcast Corp,29025,29000,25,2022-04-18 00:00:00 +0000,19,x, ,2,D000000461
         ,"",D000022092,Madison Dearborn Partners,28800,0,28800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000032285,Capital Group,28400,0,28400,2022-04-18 00:00:00 +0000,21,x, ,1,D000032285
         ,"",D000021757,Berkshire Hathaway,27550,27500,50,2022-04-18 00:00:00 +0000,22, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,27500,27500,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000062
         ,"",D000000769,"Paul, Weiss et al",26600,0,26600,2022-04-18 00:00:00 +0000,24, ,x,0,D000000769
         ,"",D000068867,Arbiter Partners,26200,0,26200,2022-04-18 00:00:00 +0000,25, , ,0,          
C00004275,"",D000000087,American Bankers Assn,26050,25000,1050,2022-04-18 00:00:00 +0000,26,x, ,1,D000000087
C00039578,"",D000000433,Council of Insurance Agents & Brokers,26000,26000,0,2022-04-18 00:00:00 +0000,27,x, ,0,D000000433
C00076810,"",D000000155,General Motors,25500,25500,0,2022-04-18 00:00:00 +0000,28,x, ,0,D000000155
C00163832,"",D000000148,CSX Corp,25000,25000,0,2022-04-18 00:00:00 +0000,29,x, ,0,D000000148
C00064766,"",D000000081,United Parcel Service,24525,24500,25,2022-04-18 00:00:00 +0000,30,x, ,0,D000000081
         ,"",D000000109,Blue Cross/Blue Shield,24000,23000,1000,2022-04-18 00:00:00 +0000,31,x, ,0,D000000109
C00280222,"",D000019986,KPMG LLP,23575,23500,75,2022-04-18 00:00:00 +0000,32,x,x,0,D000019986
         ,"",D000021808,Affiliated Managers Group,23000,0,23000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000061881,Jane Street Capital,22800,0,22800,2022-04-18 00:00:00 +0000,34, , ,0,          
C00034157,"",D000000126,AFLAC Inc,22500,22500,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000126
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,22500,22500,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000181
         ,"",D000032055,Boston Consulting Group,22200,0,22200,2022-04-18 00:00:00 +0000,37,x, ,0,D000032055
C00395723,"",D000021817,Alston & Bird,21300,4000,17300,2022-04-18 00:00:00 +0000,38, ,x,1,D000021817
C00211318,"",D000000131,Deloitte LLP,21005,21000,5,2022-04-18 00:00:00 +0000,39,x,x,0,D000000131
C00370114,"",D000000414,Charles Schwab Corp,20900,8500,12400,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Rayes Inc,20800,0,20800,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000037820,State of Tennessee,20525,0,20525,2022-04-18 00:00:00 +0000,42,x, ,0,D000037820
C00397851,"",D000024670,Centene Corp,20500,1500,19000,2022-04-18 00:00:00 +0000,43,x, ,1,D000024670
C00088591,"",D000000170,Northrop Grumman,20455,20000,455,2022-04-18 00:00:00 +0000,44,x, ,0,D000000170
C00284885,"",D000000419,Home Depot,20037,20000,37,2022-04-18 00:00:00 +0000,45,x, ,1,D000000419
C00077321,"",D000000095,American Institute of CPAs,20000,20000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000095
C00426775,"",D000000672,Charter Communications,20000,20000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000672
C00171843,"",          ,Liberty Mutual Insurance,20000,20000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00477653,"",D000000768,Cox Enterprises,19600,11000,8600,2022-04-18 00:00:00 +0000,49,x, ,0,D000000768
         ,"",D000036976,Rdv Corp,19600,0,19600,2022-04-18 00:00:00 +0000,49, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,19500,19500,0,2022-04-18 00:00:00 +0000,51,x, ,0,D000000261
         ,"",D000021873,Blackstone Group,19300,0,19300,2022-04-18 00:00:00 +0000,52, , ,0,          
C00215046,"",D000000328,Fidelity Investments                    ,19200,16500,2700,2022-04-18 00:00:00 +0000,53,x, ,0,D000000328
