pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000088847,Yates Legacy Foundation,37095,0,37095,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000772,Station Casinos,28200,0,28200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00382796,"",D000035370,LHC Group,24500,2900,21600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000021845,Apollo Global Management,22735,0,22735,2022-04-18 00:00:00 +0000,4, , ,0,          
C00284885,"",D000000419,Home Depot,22411,20000,2411,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031260,Abc Supply,21600,0,21600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032041,Bollinger Shipyards,21600,0,21600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000070963,Gula Tech Adventures,21600,0,21600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000052477,Jackson Hole Mountain Resort,21600,0,21600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000030599,Uline Inc,21600,0,21600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000025929,Fresenius Medical Care,20349,20000,349,2022-04-18 00:00:00 +0000,11, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,20000,20000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",19750,3000,16750,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000021912,Citadel LLC,19445,0,19445,2022-04-18 00:00:00 +0000,14, , ,0,          
C00335570,"",          ,Acadian Ambulance Service,18750,5000,13750,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000064559,Boyden Gray & Assoc,18600,0,18600,2022-04-18 00:00:00 +0000,16, , ,0,          
C00142711,"",D000000100,Boeing Co,18484,12500,5984,2022-04-18 00:00:00 +0000,17, , ,0,          
C00096156,"",D000000334,Honeywell International,17385,0,17385,2022-04-18 00:00:00 +0000,18, , ,0,          
C00078451,"",D000000165,General Dynamics,16651,10000,6651,2022-04-18 00:00:00 +0000,19, , ,0,          
C00397851,"",D000024670,Centene Corp                            ,16445,5000,11445,2022-04-18 00:00:00 +0000,20, , ,0,          
