pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000022194,Power Rogers LLP,22600,0,22600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000037797,State of Illinois,19550,0,19550,2022-04-18 00:00:00 +0000,2, , ,0,          
C00173153,"",D000000349,American Assn of Nurse Anesthesiology,13500,13500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000000687,Development Specialists Inc,13500,0,13500,2022-04-18 00:00:00 +0000,3, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,12500,12500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00024968,"",D000000194,American Optometric Assn,12500,12500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Ariel Capital,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021935,Cooney & Conway,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00441949,"",          ,JStreetPAC,11600,1500,10100,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Bmo Harris Bank,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000032095,Brandenburg Industrial Service,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00024521,"",D000000065,American Assn for Justice,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00250753,"",D000024207,Auto Care Assn,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Chicago Cred,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000062250,Macarthur Foundation,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000037306,Rw Ventures,10000,0,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000037374,Sap Inc,8500,0,8500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,8000,8000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000032837,Construction Aggregates Corp,7900,0,7900,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Wessex 504,7900,0,7900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00002089,"",D000000075,Communications Workers of America,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00008268,"",D000000178,Transport Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000037476,Senior Lifestyle Corp,7000,0,7000,2022-04-18 00:00:00 +0000,26, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,6000,6000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Stone Capital Group,5975,0,5975,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000070423,Arista Networks,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Drost Kivlahan McMahon,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000080397,Illinois Birth to Five PAC,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Maf Companies,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
C00299701,"",D000000541,"McDermott, Will & Emery",5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000037208,Romanucci & Blandin,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000030134,Stowell & Friedman,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Time'S Up,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
