pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT-EMPLOYED,51489,0,51489,2022-04-18 00:00:00 +0000,1, , ,0,          
C00248716,"",D000000461,Comcast Corp,44457,4500,39957,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000406,University of California                ,41636,0,41636,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,NOT EMPLOYED,35877,0,35877,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000037205,Wonderful Co,31600,0,31600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,New Horizons Pictures,30800,0,30800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,25283,25000,283,2022-04-18 00:00:00 +0000,7, , ,0,          
C00397851,"",D000024670,Centene Corp,23926,20000,3926,2022-04-18 00:00:00 +0000,8, , ,0,          
C00689091,"",D000000810,Carlyle Group,23300,0,23300,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000070480,Cranemere LLC,21600,0,21600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000063612,SV Angel LLC,21600,0,21600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000086387,Mg Properties Group,20800,0,20800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000030392,Thomas Safran & Assoc,20800,0,20800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000022313,"Waters, Kraus & Paul",19700,0,19700,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000033285,"Dreyer, Babich et al                              ",17400,0,17400,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000084276,LifeYield,16600,0,16600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000021845,Apollo Global Management,16355,0,16355,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000812,State of California                     ,16276,0,16276,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000035035,"Keker, Van Nest & Peters",16050,0,16050,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000035604,Marcus & Millichap,15808,0,15808,2022-04-18 00:00:00 +0000,20, , ,0,          
C00019653,"",D000000239,Edison International,14905,10000,4905,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000036911,"Quinn, Emanuel et al                    ",13673,0,13673,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000022154,New York University,13330,0,13330,2022-04-18 00:00:00 +0000,23, , ,0,          
C00109017,"",D000000076,AT&T Inc,12567,10000,2567,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000070965,Simon Youth Foundation,12300,0,12300,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000055308,Pegasus Capital Advisors,11800,0,11800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Pacific Intelligence,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000055865,Quotidian Gallery,11600,0,11600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000032235,California Institute of Technology,11085,0,11085,2022-04-18 00:00:00 +0000,29, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",11000,11000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00303024,"",D000000104,Lockheed Martin,10986,10000,986,2022-04-18 00:00:00 +0000,31, , ,0,          
C00344754,"",D000000686,"Gibson, Dunn & Crutcher",10922,0,10922,2022-04-18 00:00:00 +0000,32, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,10893,10500,393,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000046328,Accretive LLC,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000031290,Acf Property Management,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Act Iii,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000031533,Analysis Group,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000031921,Bergman Draper Oslund,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000031993,BLS Investments,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000084382,Blue Wolf Capital Partners,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000032033,Bohemian Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000083835,Eagle Knolls Capital,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,"Eugene H Zagat, Jr",10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000083721,Gumport Law Firm,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022025,Henry Crown & Co,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000022049,Jana Partners,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000034927,Jon Stryker Architecture,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Law Firm of Charles Binder,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000088853,Lefkofsky Family Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Lurin,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000065720,McArthurGlen Group,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000055268,Patterson Planning & Services,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000070432,Pretium Partners,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Ripplewood,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000043831,Rmk Management,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000030363,The Management Group,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000030387,Thomas H Lee Capital,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000068960,Tiger 21,10800,0,10800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000071415,GFP Real Estate,10000,0,10000,2022-04-18 00:00:00 +0000,60, , ,0,          
C00411116,"",D000029147,SpaceX,10000,10000,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00142711,"",D000000100,Boeing Co,9733,8500,1233,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000090534,Camden Asset Management,9200,0,9200,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000058868,"Santa Clara County, CA                            ",8954,0,8954,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000070585,Chg Healthcare Services,8900,0,8900,2022-04-18 00:00:00 +0000,65, , ,0,          
C00197749,"",D000000128,Walt Disney Co,8420,2000,6420,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Law Office of Karl S Thirmond,8300,0,8300,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000067823,Alphabet Inc,8174,3000,5174,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000059925,Abelson Taylor,8100,0,8100,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000090002,Noramax Productions,8100,0,8100,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000088999,Signum Global Advisors,7800,0,7800,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000034986,Kaiser Permanente,7592,0,7592,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000000750,Stanford University,7529,0,7529,2022-04-18 00:00:00 +0000,73, , ,0,          
C00024521,"",D000000065,American Assn for Justice,7500,7500,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,74, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000036277,Northwestern University,7360,0,7360,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000084130,Amd Homes,7250,0,7250,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000088846,Teichert Foundation,7090,0,7090,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000000536,Latham & Watkins,7075,0,7075,2022-04-18 00:00:00 +0000,80, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,5000,2000,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000030693,University of Southern California       ,6954,0,6954,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",D000032237,California State University,6940,0,6940,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000083457,Creatoriq,6850,0,6850,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000037647,Snell & Wilmer,6825,0,6825,2022-04-18 00:00:00 +0000,85, , ,0,          
