pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,36449,0,36449,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000035821,Mesirow Financial,32050,0,32050,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000811,Kirkland & Ellis,28100,0,28100,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000031833,"Bartlit, Beck et al",21400,0,21400,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000043779,Scott I Canel & Assoc,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000088531,Kansas City Urology Care,17010,0,17010,2022-04-18 00:00:00 +0000,6, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,15110,15000,110,2022-04-18 00:00:00 +0000,7, , ,0,          
C00247403,"",D000022158,NorPAC,14000,-1000,15000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00351270,"",D000022249,Sidley Austin LLP,12600,0,12600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00158881,"",D000000249,New York Life Insurance,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000021919,Clifford Law Offices,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000071415,GFP Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000051390,Golder Investment Management,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,11000,11000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00109017,"",D000000076,AT&T Inc,10971,10500,471,2022-04-18 00:00:00 +0000,15, , ,0,          
C00438051,"",D000018253,Discover Financial Services,10800,5000,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00515148,"",D000028035,Northern Trust,10700,1000,9700,2022-04-18 00:00:00 +0000,17, , ,0,          
C00536573,"",D000066804,Abbvie Inc,10100,10000,100,2022-04-18 00:00:00 +0000,18, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00096156,"",D000000334,Honeywell International,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00615203,"",D000070694,Senior Care Pharmacy Coalition,10000,10000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00106146,"",D000000116,American Hospital Assn,9000,9000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000047665,Beal Properties,8700,0,8700,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000034206,Grippo & Elden,8700,0,8700,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,8520,8500,20,2022-04-18 00:00:00 +0000,26, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000087517,Abundant Venture Partners,7600,0,7600,2022-04-18 00:00:00 +0000,28, , ,0,          
C00089136,"",D000000067,Altria Group,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00411553,"",D000023903,American Academy of Family Physicians,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000044853,Friedman Properties,7500,0,7500,2022-04-18 00:00:00 +0000,29, , ,0,          
C00280222,"",D000019986,KPMG LLP,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00197095,"",          ,Northwestern Mutual Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,7500,7500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000072298,Paragon Biosciences,7300,0,7300,2022-04-18 00:00:00 +0000,38, , ,0,          
C00696591,"",D000088444,Across the Aisle PAC,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Associated Urological Specialists,7000,0,7000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00491118,"",          ,Lundbeck Inc,7000,3000,4000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000076666,Harris & Harris (Illinois),6800,0,6800,2022-04-18 00:00:00 +0000,43, , ,0,          
C00337626,"",D000000106,Morgan Stanley,6500,6500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,6500,6500,0,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Va,6491,0,6491,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000022011,GCM Grosvenor,6300,0,6300,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000054009,Much Shelist PC,6300,0,6300,2022-04-18 00:00:00 +0000,47, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Alliant Mesirow Insurance,5800,0,5800,2022-04-18 00:00:00 +0000,51, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,51, , ,0,          
