pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,268496,0,268496,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000073417,Medquest Pharmacy,32200,0,32200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,19500,19500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00114132,"",D000000315,American Veterinary Medical Assn,15300,15000,300,2022-04-18 00:00:00 +0000,4, , ,0,          
C00364109,"",D000023930,America's Communications Assn,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00079681,"",D000022136,National Propane Gas Assn,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00336057,"",          ,US Cellular,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000065774,Richmond Global,14500,0,14500,2022-04-18 00:00:00 +0000,8, , ,0,          
C00248716,"",D000000461,Comcast Corp,13500,12500,1000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00422774,"",          ,Frontline USA,13300,7500,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00305318,"",D000000675,Blue Dog PAC,13000,13000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00004275,"",D000000087,American Bankers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00343459,"",D000021829,American College of Radiology,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00426775,"",D000000672,Charter Communications,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00284885,"",D000000419,Home Depot,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00199257,"",          ,Genentech Inc,12050,5000,7050,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000062527,Moore Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,19, , ,0,          
C00696591,"",D000088444,Across the Aisle PAC,11000,11000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00109017,"",D000000076,AT&T Inc,11000,11000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00420398,"",          ,Boehringer Ingelheim Corp,11000,11000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,10800,5000,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
C00034785,"",D000021803,ACA International,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00281162,"",          ,Bayer Corp,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000021757,Berkshire Hathaway,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
